Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,New Staircase Installation,Install new staircase to attic.,1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Attic Renovation,Attic,Attic Refinishing,Refinish attic including walls and floors.,500 SF,$4 per SF,0.75,,3500,85
,,,,,,,,9625.00,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.80,,3960.00,95
,,,,,,,,3960.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,,4375,90
Basement Renovation,Basement,Basement Refinishing,Refinish basement including walls and ceilings.,500 SF,$4 per SF,0.75,,3500,85
,,,,,,,,7875.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,"Installation of standard kitchen cabinets up to 10 FT, including base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",1 UNIT,"$7,600 per UNIT",0.75,,13300.00,95
,,,,,,,,13300.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Kitchen Countertops,"Fabrication and installation of quartz countertops, including template creation, edge treatments, and sink cutouts.",45 SF,$97 per SF,0.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,95
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,,5775.00,95
Demolition,Bedroom 1,Bedroom Flooring,"Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,,4056.75,95
Demolition,Living Room,Living Room Flooring,"Subfloor preparation, installation of hardwood flooring, refinishing, trim installation, and transition strips.",200 SF,$6 per SF,0.75,,2100.00,95
Demolition,Primary Bathroom,Full Gut Renovation,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Demolition,Secondary Bathroom,Full Gut Renovation,Full gut and renovation of secondary bathroom.,1 UNIT,"$8,800 per UNIT",0.75,,15400,90
,,,,,,,,48506.75,
Doors,,,,,,,,,
Doors,Attic,Barn Door Installation,Install barn door in attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310,85
Doors,First Floor,Sliding Door Installation,Replace window with sliding door on front balcony.,1 UNIT,"$1,500 per UNIT",0.75,,2625,85
,,,,,,,,4935.00,
Electrical,,,,,,,,,
Electrical,Whole House,Electrical Rewiring,Rewire the whole house for better electrical organization.,2046 SF,$17 per SF,0.75,,60817.5,90
,,,,,,,,60817.50,
