Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence,SourceRun,Section,Confidence_num,Total_num,key
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,"$5,000 per UNIT",0.75,,8750.0,85.0,run_20250929_115931_6fd16598,,85.0,8750.0,basement renovation|basement|mini wine cellar construction
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,1359.9 SF,$11 per SF,0.75,,26148.225,85.0,run_20250929_115931_6fd16598,,85.0,26148.225,basement renovation|basement|theater room construction
Basement Renovation,Basement,Theater Room Setup,Prepare basement area for theater room setup.,1 UNIT,"$5,000 per UNIT",0.75,,8750.0,85.0,run_20250929_115945_b3820fa4,,85.0,8750.0,basement renovation|basement|theater room setup
Cabinetry & Storage,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,20 LF,"$10,900 per unit",0.75,,19075.0,95.0,run_20250929_115956_9677368d,,95.0,19075.0,cabinetry & storage|kitchen|kitchen cabinets installation
Countertops,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,127.5 SF,$97 per SF,1.75,,38997.29,95.0,run_20250929_115931_6fd16598,,95.0,38997.29,countertops|kitchen|countertop installation
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including cabinet removal, countertop removal, appliance disconnection, flooring removal, backsplash removal, electrical and plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,95.0,run_20250929_115931_6fd16598,,95.0,5775.0,demolition|kitchen|kitchen demolition
Demolition,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of old fixtures, tile, vanity, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,95.0,run_20250929_115931_6fd16598,,95.0,5775.0,demolition|master bathroom|bathroom demolition
Electrical,Basement,Basement Finishing,"Finishing of basement including flooring, drywall, and electrical.",1359.9 SF,$11 per SF,0.75,,26148.225,85.0,run_20250929_115931_6fd16598,,85.0,26148.225,electrical|basement|basement finishing
Electrical,Bedroom,Electrical Installation,Installation of bedroom electrical systems including outlets and lighting.,1 unit,"$3,500 per unit",0.75,,6125.0,85.0,run_20250929_115956_9677368d,,85.0,6125.0,electrical|bedroom|electrical installation
Electrical,Bedroom,Electrical Work,"Installation of outlets, switches, and light fixtures.",1 UNIT,"$3,500",0.75,,6125.0,85.0,run_20250929_115945_b3820fa4,,85.0,6125.0,electrical|bedroom|electrical work
Electrical,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel due to wall removal.,1 UNIT,"$3,500 minimum",0.75,,6125.0,85.0,run_20250929_115931_6fd16598,,85.0,6125.0,electrical|kitchen|electrical reallocation
Electrical,Kitchen,Kitchen Electrical,"Installation of kitchen electrical systems including outlets, lighting, and appliances.",1 unit,"$3,500 per unit",0.75,,6125.0,90.0,run_20250929_115956_9677368d,,90.0,6125.0,electrical|kitchen|kitchen electrical
Electrical,Master Bathroom,Bathroom Electrical,"Includes rough electrical, vanity lighting, exhaust fan installation, and GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125.0,90.0,run_20250929_115931_6fd16598,,90.0,6125.0,electrical|master bathroom|bathroom electrical
Flooring,Bedroom,Flooring Installation,Installation of herringbone hardwood flooring.,364 SF,$6,0.75,,3822.0,90.0,run_20250929_115945_b3820fa4,,90.0,3822.0,flooring|bedroom|flooring installation
Flooring,Kitchen,Kitchen Flooring,Installation of new kitchen flooring.,127.5 SF,$6 per SF,0.75,,1338.75,85.0,run_20250929_115931_6fd16598,,85.0,1338.75,flooring|kitchen|kitchen flooring
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700.0,95.0,run_20250929_115956_9677368d,,95.0,7700.0,general requirements|entire house|post-construction cleaning
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen aesthetics.,1 UNIT,"$2,400 per LF",0.75,,4200.0,90.0,run_20250929_115931_6fd16598,,90.0,4200.0,kitchen renovation|kitchen|kitchen island installation
Painting & Wall Coverings,Bedroom,Painting,Painting of walls and ceiling.,364.0 SF,$10.3,0.7,,6407.6,85.0,run_20250929_115945_b3820fa4,,85.0,6407.6,painting & wall coverings|bedroom|painting
Plumbing,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$4,950 per UNIT",0.75,,8662.5,85.0,run_20250929_115945_b3820fa4,,85.0,8662.5,plumbing|basement|wet bar installation
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95.0,run_20250929_115931_6fd16598,,95.0,6737.5,plumbing|kitchen|kitchen plumbing
Plumbing,Master Bathroom,Bathroom Plumbing,Full gut plumbing for bathroom with relocation.,1 UNIT,"$12,100 per UNIT",0.75,,21175.0,95.0,run_20250929_115931_6fd16598,,95.0,21175.0,plumbing|master bathroom|bathroom plumbing
Plumbing,Master Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,1 UNIT,"$8,800 per UNIT",0.75,,15400.0,90.0,run_20250929_115945_b3820fa4,,90.0,15400.0,plumbing|master bathroom|double vanity installation
Tile,Master Bathroom,Bathroom Tile Work,Installation of floor and wall tiles for 80-100 sf bathroom.,1 UNIT,"$6,800",0.8,,12240.0,90.0,run_20250929_115945_b3820fa4,,90.0,12240.0,tile|master bathroom|bathroom tile work
Waterproofing,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,35 SF,"$2,100 per unit",0.65,,3465.0,90.0,run_20250929_115956_9677368d,,90.0,3465.0,waterproofing|master bathroom|bathroom waterproofing
