Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring.",666 SF,"$3,300 per unit",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, and drain lines.",1 UNIT,"$9,900 per unit",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, and switches.",1 UNIT,"$3,500 minimum",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, grout, and seal.",666 SF,"$4,100 per unit",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,"$1,375 per unit",0.75,,2406.25,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",112 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,112 SF,$17 per SF,0.75,,2142,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of new tile on floors and walls.,112 SF,"$2,700 per UNIT",0.80,,4860,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new vanity, toilet, and shower fixtures.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, and flooring. Debris removal.",666 SF,"$3,300 per UNIT",0.75,,5775,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install new plumbing for toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install new electrical wiring, outlets, and lighting fixtures.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Install new floor and wall tiles.,666 SF,"$2,700 per UNIT",0.80,,4860,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install new vanity, mirror, and accessories.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Installation of new bathroom plumbing systems including toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical systems including lighting and outlets.,1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of new bathroom floor and wall tiles.,666 SF,"$4,100 per UNIT",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new bathroom fixtures including vanity, mirror, and accessories.",1 UNIT,$550 per UNIT,0.75,,962.5,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
