Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",80 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Install new plumbing for double sink and shower.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Install new electrical wiring and lighting.,1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Install new tile on floors and walls.,80 SF,"$4,100 per UNIT",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",112 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of floor and wall tiles.,112 SF,"$4,100 per UNIT",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical systems including lighting and outlets.,112 SF,$17 per SF,0.75,,3234,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing bathroom location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Rewiring and installation of bathroom electrical including outlets and lighting.,666 SF,$17 per SF,0.75,,19755,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Install floor and wall tiles.,666 SF,"$4,100 per UNIT",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Flooring,Install new tile flooring.,666 SF,"$2,700 per UNIT",0.80,,4860,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut replacement of plumbing fixtures.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of floor and wall tiles.,100 SF,"$4,100 per UNIT",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of new electrical outlets, switches, and lighting fixtures.",5 UNIT,$440 per UNIT,0.75,,1925,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Waterproofing,Installation of waterproofing membrane on floors and walls.,100 SF,"$2,250 per UNIT",0.65,,3712.5,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,666 SF,$17 per SF,0.75,,19755.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of wall and floor tiles.,666 SF,"$4,100 per UNIT",0.80,,7380.00,90
,,,,,,,,211766.50,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",60 SF,"$2,750 per UNIT",0.75,,4812.5,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Install new plumbing for sink and shower.,1 UNIT,"$8,800 per UNIT",0.75,,15400,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,Install new electrical wiring and lighting.,1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Install new tile on floors and walls.,60 SF,"$3,400 per UNIT",0.80,,6120,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",112 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of floor and wall tiles.,112 SF,"$4,100 per UNIT",0.80,,7380,90
