Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,[Basement] Refinish Basement,[Basement] Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,nan,3500.0,90.0
,,,,,,,,3500.00,
Doors,,,,,,,,,
Doors,Attic,[Attic] Barn Door Installation,[Attic] Install a barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,nan,2310.0,85.0
Doors,First Floor,[First Floor] Sliding Door Installation,[First Floor] Replace window with sliding door on front balcony.,1 UNIT,"$1,500 per UNIT",0.75,nan,2625.0,85.0
,,,,,,,,4935.00,
Electrical,,,,,,,,,
Electrical,Whole House,[Whole House] Electrical Rewiring,[Whole House] Rewire the whole house for better electrical organization.,2046 SF,$17 per SF,0.75,nan,60817.5,90.0
,,,,,,,,60817.50,
Flooring,,,,,,,,,
Flooring,Kitchen,[First Floor] Kitchen Backsplash,"[First Floor] Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.8,nan,3960.0,95.0
Flooring,Kitchen,[First Floor] New Kitchen,"[First Floor] Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,nan,76457.5,95.0
Flooring,Bedroom 1,[Second Floor] Bedroom Flooring,"[Second Floor] Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,nan,4056.75,95.0
Flooring,Kitchen,[First Floor] Kitchen Demolition,"[First Floor] Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,nan,5775.0,95.0
Flooring,Kitchen,[First Floor] Wall Removal for Open Concept,[First Floor] Remove two walls to create open concept kitchen layout,2 WALLS,"$1,750 per WALL",0.75,%,6125.0,85.0
Flooring,Primary Bathroom,[Second Floor] Full Gut Renovation,[Second Floor] Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,90.0
Flooring,Bedroom,[Second Floor] Bedroom Flooring,[Second Floor] Installation of new hardwood flooring.,50 SF,$6 per SF,0.75,nan,525.0,90.0
Flooring,First Floor,[First Floor] Level Floors,[First Floor] Level the floors with the extension height of 5 inches.,1319 SF,$6 per SF,0.75,nan,13840.5,90.0
Flooring,Kitchen,[First Floor] Kitchen Flooring,[First Floor] Installation of new hardwood flooring.,205 SF,$6 per SF,0.75,nan,2156.25,90.0
Flooring,Living Room,[First Floor] Living Room Flooring,[First Floor] Installation of new hardwood flooring.,246 SF,$6 per SF,0.75,nan,2587.5,90.0
Flooring,Second Floor,[Second Floor] Install New Floors,[Second Floor] Install new floors throughout the second floor.,548.6 SF,$6 per SF,0.75,nan,5754.45,90.0
Flooring,First Floor,[First Floor] New Washer/Dryer Room,[First Floor] Install a new washer/dryer room.,1 UNIT,"$3,850 per UNIT",0.75,nan,6737.5,85.0
Flooring,First Floor,[First Floor] Remove Mud Room,[First Floor] Remove the mud room to expand the kitchen.,1 UNIT,"$2,500 per UNIT",0.75,nan,4375.0,85.0
