Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Accessories,,,,,,,,,
Accessories,Bathroom 1,New Mirror,Install new mirror in bathroom.,1 UNIT,$450 per UNIT,0.75,,787.5,90
,,,,,,,,787.50,
Appliances,,,,,,,,,
Appliances,Kitchen,Appliance Installation,"Install new kitchen appliances (refrigerator, range, dishwasher, etc.).",1 UNIT,$5500 per UNIT,0.75,,9625.0,90
,,,,,,,,9625.00,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Backsplash Installation,Installation of new kitchen backsplash.,20 SF,"$2,200 per unit",0.80,,3960,95
,,,,,,,,3960.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Cabinet Installation,"Installation of new kitchen cabinets, including base and wall cabinets.",20 LF,"$10,900 per unit",0.75,,19075,95
,,,,,,,,19075.00,
Closet Organization,,,,,,,,,
Closet Organization,Bedroom,Closet Organization System,"Replace wire racks with organized closet system (shelving, hanging rods).",2 UNIT,$850 per UNIT,0.75,,2975.0,90
,,,,,,,,2975.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Countertop Installation,Fabrication and installation of new countertops.,45 SF,$97 per SF,0.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Demolition,"Full gut of bathroom including removal of old fixtures, tile, and vanity.",88 SF,"$2,200 per unit",0.75,,3850,95
Demolition,Kitchen,Demolition,"Full gut of kitchen including cabinet removal, countertop removal, appliance disconnection, and backsplash removal.",200 SF,"$3,300 per unit",0.75,,5775,95
Demolition,Master Bathroom,Remove Round Shower and Install Frameless Glass,"Remove existing round shower enclosure, install new modern frameless glass shower with door.",1 UNIT,$2800 per UNIT,0.75,,4900.0,90
,,,,,,,,14525.00,
Doors,,,,,,,,,
Doors,Entire Apartment,Door Hardware Replacement,"Replace door hardware (knobs, locks) throughout.",5 UNIT,$85 per UNIT,0.75,,743.75,90
,,,,,,,,743.75,
Electrical,,,,,,,,,
Electrical,Entire Apartment,Ceiling Lights Throughout,Install new ceiling lights throughout entire apartment.,1 UNIT,$2800 per UNIT,0.75,,4900.0,90
Electrical,Master Bathroom,New Mirrors and Lights,"Install new mirrors and vanity lighting.",1 UNIT,$850 per UNIT,0.75,,1487.5,90
Electrical,Master Bathroom,Bidet Electrical Outlet,"Install electrical outlet for electric toilet/bidet.",1 UNIT,$350 per UNIT,0.75,,612.5,90
Electrical,Kitchen,Wine Fridge Installation,"Install wine fridge with electrical connection.",1 UNIT,$1200 per UNIT,0.75,,2100.0,85
,,,,,,,,9100.00,
Flooring,,,,,,,,,
