Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Appliances,,,,,,,,,
Appliances,Kitchen 1,Kitchen Plumbing,Rough plumbing for kitchen sink and appliances.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95
,,,,,,,,6737.50,
Backsplash,,,,,,,,,
Backsplash,Kitchen 1,Backsplash Installation,Install tile backsplash.,10 LF,"$2,200 per 10 LF",0.80,,3960,90
,,,,,,,,3960.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen 1,Cabinet Installation,"Install new kitchen cabinets, including base and wall cabinets.",20 LF,"$7,600 per 10 LF",0.75,,26600,95
,,,,,,,,26600.00,
Countertops,,,,,,,,,
Countertops,Kitchen 1,Countertop Installation,Install new quartz countertops.,45 SF,"($1,500 installation + $97/sqft × SF + $2,000 material) × 1.75",0.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of existing bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Demolition,Kitchen 1,Kitchen Demolition,"Full gut of existing kitchen including removal of cabinets, countertops, appliances, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Demolition,Bathroom,Bathroom Demolition,"Remove existing fixtures, tile, and flooring.",24.3 SF,"$2,200 per UNIT",0.75,,3850,95
,,,,,,,,13475.00,
Electrical,,,,,,,,,
Electrical,Bathroom 1,Bathroom Electrical,"Installation of GFCI outlets, lighting, and exhaust fan.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Electrical,Kitchen 1,Kitchen Electrical,"Installation of new circuits, outlets, and lighting for kitchen.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Electrical,Bedroom,Electrical Work,"Install new outlets, switches, and light fixtures.",1 UNIT,"$3,500 minimum",0.75,,6125,90
,,,,,,,,18375.00,
Flooring,,,,,,,,,
Flooring,Kitchen 1,Flooring Installation,Install new hardwood flooring.,406.5 SF,$6 per SF,0.75,,4268.25,95
Flooring,Living Room 1,Flooring Installation,Installation of new hardwood flooring.,280 SF,$6 per SF,0.75,,2940,90
,,,,,,,,7208.25,
General Requirements,,,,,,,,,
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400 per UNIT",0.75,,7700,95
,,,,,,,,7700.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom,Painting,Paint walls and ceiling.,308.4 SF,$10.3 per SF,0.75,,5546.85,90
,,,,,,,,5546.85,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Plumbing Rough-In,"Rough plumbing for new bathroom layout including toilet, sink, and shower connections.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Plumbing,Bathroom,Tub to Shower Conversion,Convert existing tub to a shower.,1 UNIT,"$1,375",0.75,,2406.25,95
,,,,,,,,15881.25,
Tile,,,,,,,,,
Tile,Bathroom 1,Tile Installation - Walls,Installation of wall tiles in bathroom.,60 SF,"$2,600 per 60 SF",0.80,,4680,90
Tile,Bathroom,Tile Installation,Install new tile for shower and floor.,24.3 SF,"$2,600 per UNIT",0.80,,4680,90
,,,,,,,,9360.00,
Trims,,,,,,,,,
Trims,Living Room 1,Trim Installation,Installation of baseboards and crown molding.,80 LF,$5 per LF,0.75,,700,90
,,,,,,,,700.00,
Waterproofing,,,,,,,,,
Waterproofing,Bathroom 1,Waterproofing,Installation of waterproofing membrane on floors and walls.,60 SF,"$1,900 per UNIT",0.65,,3135,90
,,,,,,,,3135.00,
,,,,,,,,132442.60,
,,,General Conditions (10%),,,,,13244.26,
,,,Grand Total,,,,,145686.86,
