Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",80 SF,"$2,750 per UNIT",0.75,,4812.5,95
Bathroom 1 Renovation,Bathroom 1,Tile Installation,Installation of new tile on bathroom floors and walls.,80 SF,"$2,700 per UNIT",0.80,,4860,95
Bathroom 1 Renovation,Bathroom 1,Plumbing Rough-In,Rough plumbing for bathroom fixtures.,1 UNIT,"$8,800 per UNIT",0.75,,15400,95
Bathroom 1 Renovation,Bathroom 1,Electrical Rough-In,Rough electrical work for bathroom including outlets and lighting.,1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Installation of new plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of new tile on floors and walls.,100 SF,"$4,100 per UNIT",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of new electrical outlets, switches, and lighting fixtures.",1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Waterproofing,Installation of waterproofing membrane on floors and walls.,100 SF,"$2,250 per UNIT",0.75,,3937.5,85
,,,,,,,,71740.00,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,"Installation of new plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$8,800 per UNIT",0.75,,15400,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of new tile on floors and walls.,80 SF,"$3,400 per UNIT",0.80,,6120,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Installation of new electrical outlets, switches, and lighting fixtures.",1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Bathroom 2 Renovation,Bathroom 2,Bathroom Waterproofing,Installation of waterproofing membrane on floors and walls.,80 SF,"$2,100 per UNIT",0.75,,3675,85
,,,,,,,,36132.50,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom 1,Flooring Installation,Installation of new hardwood flooring in bedroom.,244 SF,$6 per SF,0.75,,2562,95
Bedroom Renovation,Bedroom 1,Painting,Painting of bedroom walls and ceiling.,244 SF,$10.3 per SF,0.75,,4393.5,95
Bedroom Renovation,Bedroom 1,Electrical Installation,Installation of new electrical outlets and lighting fixtures.,1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bedroom Renovation,Bedroom 1,Bedroom Flooring,Installation of new hardwood flooring.,244.5 SF,$6 per SF,0.75,,2567.25,85
Bedroom Renovation,Bedroom 1,Bedroom Painting,Painting of walls and ceiling.,244.5 SF,$10.3 per SF,0.75,,4404.56,85
Bedroom Renovation,Bedroom 1,Bedroom Electrical,"Installation of new electrical outlets, switches, and lighting fixtures.",1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Bedroom Renovation,Bedroom 1,Bedroom Trim,Installation of new baseboards and crown molding.,244.5 LF,$5 per LF,0.75,,2139.38,85
,,,,,,,,28316.69,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire Apartment,Commercial Cleaning,Post-construction cleaning of entire apartment.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
,,,,,,,,9625.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Demolition,"Full gut of kitchen including removal of existing cabinets, countertops, appliances, and flooring.",210 SF,$7 per SF,0.75,,2572.5,95
Kitchen Renovation,Kitchen,Cabinet Installation,"Installation of new kitchen cabinets, including base and wall cabinets.",20 LF,"$10,900 per UNIT",0.75,,19075,95
Kitchen Renovation,Kitchen,Countertop Installation,Fabrication and installation of new kitchen countertops.,45 SF,$97 per SF,0.75,,13763.75,95
