Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,Installation of tile backsplash.,10 LF,"$2,200 per 10 LF",0.80,,3960,90
,,,,,,,,3960.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Install kitchen countertops,"Template creation, countertop fabrication, countertop installation, edge treatments, sink cutouts.",45 SF,"($1,500 + $97×45 + $2,000) × 1.75",0.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Demolition,Kitchen,Full gut demolition,"Removal of all kitchen cabinets, countertops, appliances, flooring, backsplash, and associated debris.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Demolition,Bathroom 2,Full gut demolition,"Remove all existing bathroom fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
,,,,,,,,14437.50,
Electrical,,,,,,,,,
Electrical,Bathroom 1,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,1 UNIT,"$3,500 minimum",0.75,,6125,95
Electrical,Kitchen,Kitchen Electrical,"Rewiring of kitchen including GFCI outlets, lighting circuits, and appliance connections.",1 UNIT,"$3,500 minimum",0.75,,6125,95
Electrical,Living Room,Electrical upgrades,"Install new outlets, switches, and light fixtures.",10 UNIT,$55 per UNIT,0.75,,962.5,90
,,,,,,,,13212.50,
Flooring,,,,,,,,,
Flooring,Living Room,Hardwood flooring installation,Installation of new hardwood flooring.,300 SF,$6 per SF,0.75,,3150,90
Flooring,Basement,New flooring installation,Installation of new flooring in the basement area.,500 SF,$6 per SF,0.75,,5250,90
,,,,,,,,8400.00,
General Requirements,,,,,,,,,
General Requirements,Entire Apartment,Commercial Cleaning,Post-construction cleaning of entire apartment.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
,,,,,,,,4812.50,
Heating and Cooling,,,,,,,,,
Heating and Cooling,General,HVAC system design and installation,Consultation and installation of HVAC systems including air handlers and ducting.,1 UNIT,"$8,250 per UNIT",0.60,,13200,85
,,,,,,,,13200.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Living Room,Living Room Painting,Painting of walls and ceiling.,200 SF,$10.3 per SF,0.70,,3507,90
,,,,,,,,3507.00,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$8,800 per UNIT",0.75,,15400,95
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95
Plumbing,Bathroom 2,Full gut plumbing,"Install new plumbing for toilet, sink, shower/tub, supply lines, and drain lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
,,,,,,,,35612.50,
Tile,,,,,,,,,
Tile,Bathroom 1,Tile installation,"Floor tile preparation, floor tile installation, wall tile installation, shower tile, grout installation, tile sealing.",80 SF,"$3,400 per 60-80 SF",0.80,,6120,95
Tile,Kitchen,Tile flooring installation,Install new tile flooring in the kitchen.,80 SF,$6 per SF,0.75,,840,90
Tile,Bathroom 2,Tile installation,Install new wall and floor tiles in Bathroom 2.,100 SF,"$4,100 per UNIT",0.80,,7380,95
,,,,,,,,14340.00,
Trims,,,,,,,,,
Trims,Living Room,Living Room Trim,Installation of baseboards and crown molding.,100 LF,$9 per LF,0.70,,1530,90
,,,,,,,,1530.00,
Waterproofing,,,,,,,,,
Waterproofing,Bathroom 1,Bathroom Waterproofing,Installation of waterproofing membrane on floors and walls.,80 SF,"$2,100 per 60-80 SF",0.65,,3465,90
,,,,,,,,3465.00,
,,,,,,,,130240.75,
,,,General Conditions (10%),,,,,13024.08,
,,,Grand Total,,,,,143264.83,
