Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Full Gut Demo,"Full removal of existing cabinets (12), countertops, backsplash, and island. Kitchen 226 SF. Disconnect and protect appliances and fixtures (DEMO-02: 10ft+).",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,90
Demolition,Backyard,Concrete Patio Demo,Demo existing concrete slab in backyard adjacent to future pool location. Estimated 300 SF (DEMO-07: up to 600 SF at $7/SF).,300 SF,$7.00 per SF,0.75,,3675.0,90
Demolition,Kitchen / Laundry,Window Close-Out,"Close out existing kitchen window at W/D relocation area. Remove window, frame opening with wood/steel studs, insulate, install drywall interior and stucco patch exterior.",1 LS,"$1,500 per LS",0.75,,2625.0,90
Demolition,Kitchen,Split AC Unit Removal,"Remove existing split unit AC system from kitchen. Disconnect refrigerant lines, remove indoor and outdoor units, cap lines, and patch wall penetrations.",1 LS,$800 per LS,0.75,,1400.0,90
,,,,,,,,13475.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Kitchen,Kitchen Moisture-Resistant Drywall,Install new moisture-resistant drywall behind cabinets and backsplash area after full gut. 10ft+ kitchen run (CARP-09).,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,90
,,,,,,,,3368.75,
Plumbing,,,,,,,,,
Plumbing,Kitchen,Kitchen Plumbing - Existing Location,"Reconnect kitchen plumbing after gut. Sink stays at existing location. Supply, waste, and dishwasher connections (PLMB-09: 1 sink, existing location).",1 UNIT,"$3,850 per UNIT",0.75,,6737.5,90
Plumbing,Kitchen / Laundry,Washer/Dryer Plumbing - New Location,"Run hot/cold water supply lines, drain, and vent to new W/D location adjacent to kitchen. Relocated from garage. Includes drain box and shut-off valves (PLMB-18).",1 UNIT,"$3,350 per UNIT",0.75,,5862.5,90
,,,,,,,,12600.00,
Electrical,,,,,,,,,
Electrical,Kitchen,Kitchen Outlets & Switches - Existing,Reconnect kitchen outlets and switches at existing locations after gut. ~8 devices including GFI outlets at countertop (ELEC-06/04).,8 UNIT,$80 per UNIT,0.75,,1120.0,90
