Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,General,Pre-construction site preparation,"Pre-construction site preparation
-Protect and seal entry doors, grilles, and other openings at the house.
-Set up zipper walls and containments to prevent dust from spreading to other areas as required by the construction scope of work.




",1 UNIT,"$2,500.00 per UNIT",0.00,,1486.10,90
Demolition,General,Demolition of existing structures,"Existing House
-Demolition and removal of existing siding, trim, and sheathing at the existing wall where the new extension will connect.
-Demolition and removal of structural wall framing to create new opening for the new extension.
-Removal of existing bay window and other windows.
-Demolition and removal of existing roof, overhangs, gutters, or eaves as needed for proper roof tie-in with the new extension.
*Debris removal and disposal included
",600 SF,$7.00 per SF,0.00,,2496.66,90
Demolition,General,Demolition of existing structures,"1st Floor - Existing Bathroom

-Demolition of bathroom tiles, vanity, medicine cabinet, toilet, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal included
",1 UNIT,"$3,300.00 per UNIT",0.00,,1961.66,90
Demolition,General,"Excavation, grading, and backfilling","New Extension Area (Approx. 600 SF)
-Strip and remove surface vegetation and topsoil within the new addition footprint.
-Excavate to required subgrade elevation for slab-on-grade foundation, including trenches for footings.
-Grade and level the building pad to ensure uniform bearing conditions and slab support.
-Excavate utility trenches as needed for underslab plumbing and electrical rough-ins.
-Place and compact fill material around the perimeter and over excavated areas as needed to establish proper grade.
-Perform rough grading around the new structure to promote positive drainage away from the foundation.

*Debris removal and disposal included
",600 SF,$15.00 per SF,0.00,,5349.98,90
Electrical,General,Electrical,"New Extension Area
-Supply and install new electrical panel for panel upgrade at existing location.
-Supply and install (12) new outlets throughout the bedrooms in the new extension area as per code requirements at new locations.
-Install (6) new light fixtures throughout the new extension area at new locations.
-Supply and install (6) new switches throughout the new extension area at new locations.
*Light fixtures not included
*All electrical work to be done by a licensed insured electrician


",4 UNIT,"$3,500.00 per UNIT",0.00,,8322.19,90
Electrical,General,Electrical,"1st Floor New Extension - New Bathroom

-Supply and install (1) new GFI outlet in the bathroom as per code requirements at new location.

-Install (2) new light fixtures at new locations.

-Supply and install (1) new switch at new location.

*Light fixtures not included

*All electrical work to be done by a licensed insured electrician


",1 UNIT,"$3,500.00 per UNIT",0.00,,2080.55,90
Electrical,General,Electrical,"2nd Floor New Extension - New Bathroom

-Supply and install (1) new GFI outlet in the bathroom as per code requirements at new location.

-Install (2) new light fixtures at new locations.

-Supply and install (1) new switch at new location.

*Light fixtures not included

*All electrical work to be done by a licensed insured electrician


",1 UNIT,"$3,500.00 per UNIT",0.00,,2080.55,90
Drywall & Insulation,General,New Interior Partition Walls,"1st & 2nd Floor New Extension Area
-Frame all interior partition walls with 2ֳ—4 studs at 16"" OC, including top and bottom plates, blocking, and framing.
-Provide framing for plumbing and mechanical runs where required, including soffits or fur-downs.
-Supply and install all required structural hardware, bracing, and fire-blocking per code.
-Supply and install drywall on both sides of all interior walls.
*Tape, plaster, sand, and prepare walls to the above spaces to receive new finishes
",1200 SF,$8.00 per SF,0.00,,5706.64,90
Drywall & Insulation,General,New Interior Partition Walls,"1st & 2nd Floor New Extension Area
-Frame all interior partition walls with 2ֳ—4 studs at 16"" OC, including top and bottom plates, blocking, and framing.
-Provide framing for plumbing and mechanical runs where required, including soffits or fur-downs.
-Supply and install all required structural hardware, bracing, and fire-blocking per code.
-Supply and install drywall on both sides of all interior walls.
*Tape, plaster, sand, and prepare walls to the above spaces to receive new finishes
",1200 SF,$8.00 per SF,0.00,,5706.64,90
Drywall & Insulation,General,Mold Resistant Drywall Installation,"1st Floor New Extension - New Bathroom
-Supply and Install water-resistant sheetrock on bathroom walls.
*Tape, plaster, sand and prepare walls to the above spaces to receive new finishes
",1200 SF,$8.00 per SF,0.00,,5706.64,90
Drywall & Insulation,General,Mold Resistant Drywall Installation,"2nd Floor New Extension - New Bathroom

-Supply and Install water-resistant sheetrock on bathroom walls.

*Tape, plaster, sand and prepare walls to the above spaces to receive new finishes
",1200 SF,$8.00 per SF,0.00,,5706.64,90
Doors,General,New Doors Installation,"New Extension Area
-Installation of (6) new standard interior doors, door frames, and door trims throughout the new extension area.
*Doors and Hardware not included

",8 UNIT,$550.00 per UNIT,0.00,,2615.54,90
Trims,General,New Baseboards Installation,"New Extension Area

-Supply and install new baseboards throughout the new 1st and 2nd floor extension area.

*Baseboard material allowance of $4 per LF
",350 LF,$11.00 per LF,0.00,,2288.60,90
Flooring,General,2nd Floor Extension Flooring Installation,"2nd Floor New Extension Area

-Supply and install engineered floor joist system throughout the new 2nd floor extension, including rim boards and intermediate
blocking.

-Supply and install all required structural connectors, joist hangers, and hardware per manufacturer and code.

-Supply and install new subflooring over new level floor joists.

-Supply and install acoustic flooring underlayment throughout the new bedroom in the new 2nd floor extension.

-Installation of new hardwood flooring throughout the new 2nd floor extension.

*Hardwood flooring material not included


",600 SF,$7.00 per SF,0.00,,2496.66,90
Flooring,General,1st Floor Extension Flooring Finish,"1st Floor New Extension Area
-Supply and install subflooring throughout the new 1st floor extension area.
-Installation of hardwood flooring over the new subflooring throughout the new 1st floor extension area.
*Hardwood flooring material not included




",600 SF,$8.00 per SF,0.00,,2853.32,90
