Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, tile installation, grout installation, tile sealing, trim tiles.",10 FT,"$1,650 per 10 FT",0.8,nan,2970.0,95.0
,,,,,,,,2970.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,"Installation of base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, drawer slides.",11 LF,$850 per LF,0.75,nan,16362.5,95.0
,,,,,,,,16362.50,
Countertops,,,,,,,,,
Countertops,Kitchen,Kitchen Countertops,Fabricate and install quartz countertops.,45 SF,$97 per SF,0.75,nan,13763.75,95.0
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,nan,3850.0,95.0
Demolition,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, flooring, and debris.",1 UNIT,"$2,200 per UNIT",0.75,nan,3850.0,95.0
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",276 SF,$7 per SF,0.75,nan,3387.0,95.0
Demolition,Entry/Hallway,Entry Flooring,"Subfloor preparation, flooring installation, transition strips.",60 SF,$6 per SF,0.75,nan,630.0,95.0
,,,,,,,,11717.00,
Doors,,,,,,,,,
Doors,Entire Apartment,Replace All Doors,Replace all interior doors with standard prehung doors.,8 UNIT,$550 per UNIT,0.75,nan,7700.0,90.0
,,,,,,,,7700.00,
Electrical,,,,,,,,,
Electrical,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,95.0
Electrical,Bathroom 2,Bathroom Electrical,Installation of bathroom electrical including vanity lighting and GFCI outlets.,1 UNIT,"$3,500 minimum",0.75,nan,6125.0,90.0
Electrical,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical including outlets, GFCI, and lighting.",1 UNIT,"$3,500 minimum",0.75,nan,6125.0,90.0
Electrical,Bedroom 1,Bedroom Electrical,"Outlet installation, switch installation, light fixtures, ceiling fans, closet lighting, bedside outlets, USB outlets.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,95.0
Electrical,Entry/Hallway,Entry Electrical,"Outlet installation, switch installation, light fixture installation.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,95.0
Electrical,Living Room,Living Room Electrical,"Outlet installation, switch installation, light fixture installation, ceiling fans, dimmer switches, floor outlets, wall sconces.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,95.0
Electrical,Bedroom 2,Bedroom Electrical,"Installation of outlets, switches, and light fixtures.",1 UNIT,"$3,500 minimum",0.75,nan,6125.0,90.0
Electrical,Bedroom 1,Recessed lighting installation,"Install 4 recessed LED lights incl. wiring, switching, and trims",4 EA,$275 per EA,0.75,%,1925.00,95
Electrical,Bedroom 1,Pendant lighting installation,"Install 1 pendant light incl. box, support, and connection",1 EA,$550 per EA,0.75,%,962.50,95
Electrical,Bedroom 2,Recessed lighting installation,"Install 4 recessed LED lights incl. wiring, switching, and trims",4 EA,$275 per EA,0.75,%,1925.00,95
