Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",6.5 m²,$50 per m²,0.75,nan,568.75,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower/tub, supply lines, and drain lines.",1 UNIT,$2500 per UNIT,0.75,nan,4375.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, and switches.",1 UNIT,$1500 per UNIT,0.75,nan,2625.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, including grout and sealing.",10 m²,$80 per m²,0.8,nan,1440.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,$2000 per UNIT,0.75,nan,3500.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Finishing,"Paint walls and ceiling, caulking, trim installation, and final cleanup.",1 UNIT,$1000 per UNIT,0.75,nan,1750.0,90.0
,,,,,,,,14258.75,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Powder Room,Reconfigure Powder Room,"Convert existing full bath to powder room (toilet + sink), adjust walls and expand adjacent bath as discussed.",1 UNIT,"$8,000 per UNIT",0.75,,14000.0,85.0
,,,,,,,,14000.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,"Comprehensive cleaning of all renovated areas, including dust removal, floor cleaning, and window washing.",236.7 m²,$5 per m²,0.75,nan,2076.38,85.0
,,,,,,,,2076.38,
Electrical,,,,,,,,,
Electrical,Service,New Main Electrical Panel and Service Upgrade,Install new main electrical panel and service upgrade as required for insurance and added loads.,1 UNIT,"$3,500 per UNIT",0.75,,6125.0,85.0
Electrical,Bedrooms,Bedroom Lighting and Junction Boxes (5 Bedrooms),"Add junction boxes and recessed/overhead lighting in all 5 bedrooms, including switches and dimmers.",5 UNIT,"$1,000 per UNIT",0.75,,8750.0,85.0
,,,,,,,,14875.00,
Exterior,,,,,,,,,
Exterior,Front Porch,New Front Porch / Entry Deck,"Remove existing planting beds and create new front porch/entry deck in wood or stone, including steps and railings as needed.",20 m²,$400 per m²,0.75,,14000.0,85.0
,,,,,,,,14000.00,
Garage Conversion,,,,,,,,,
Garage Conversion,Guest Suite,Convert Garage to Guest Suite,"Convert existing 4-car garage into guest suite with framing, insulation, drywall, finishes, flooring, and Murphy bed area.",1 UNIT,"$45,000 per UNIT",0.75,,78750.0,85.0
,,,,,,,,78750.00,
HVAC,,,,,,,,,
HVAC,Entire House,HVAC Ductwork and Insulation Rework,"Rework and balance existing HVAC ductwork and insulation to serve the renovated layout and guest suite, assuming existing system has capacity.",1 UNIT,"$8,000 per UNIT",0.75,,14000.0,85.0
,,,,,,,,14000.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing. Protect adjacent areas.",19 m²,$50 per m²,0.75,nan,1662.5,90.0
