Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,General Areas,Demolition and removal of existing siding and sheathing,Demolition and removal of existing siding and sheathing at the exterior wall where the new extension will connect.,1 UNIT,"$54,285.00",0.75,,94998.75,95
Demolition,1st Floor - Powder Room,Demolition of powder room,"Demolition of powder room tiles, vanity, medicine cabinet, toilet, and fixtures. Debris removal and disposal included.",1 UNIT,"$1,375.00",0.75,,2406.25,95
,,,,,,,,97405.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,1st & 2nd Floor Extension Areas,New Interior Partition Walls Installation,"Frame all interior partition walls with 2×4 studs at 16"" OC, including top and bottom plates, blocking, and framing.",1 UNIT,"$60,390.00",0.75,,105682.50,95
,,,,,,,,105682.50,
Plumbing,,,,,,,,,
Plumbing,1st Floor - Powder Room,Plumbing,Supply and install new water and waste line to main water supply and drainage at new locations.,1 UNIT,"$21,120.00",0.75,,36960.00,95
,,,,,,,,36960.00,
Electrical,,,,,,,,,
Electrical,General Areas,Electrical,Supply and install (2) new electrical panels for panel upgrade for existing panel and separate 2nd floor sub-panel.,1 UNIT,"$34,155.00",0.75,,59771.25,95
,,,,,,,,59771.25,
Flooring,,,,,,,,,
Flooring,1st Floor New Extension Area,New 1st Floor Flooring Installation,Supply and install 2x10 S.P.F. No.2 or better floor joists spaced at 16” O.C. as per proposed plans. Installation of hardwood flooring over the new subflooring.,580 SF,"$83,160.00",0.75,,145530.00,95
,,,,,,,,145530.00,
Tile,,,,,,,,,
Tile,1st Floor - Powder Room,Tile floor installation,"Prepare the subfloor, ensuring it is suitable for tile installation. Installation of new floor tiles throughout the powder room.",1 UNIT,"$5,270.00",0.80,,9486.00,95
,,,,,,,,9486.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,1st & 2nd Floor Extension Areas,Painting,"Supply and apply 1 coat of primer and 2 coats of paint on walls, ceiling, frames, trim, doors, and baseboards throughout the new extension areas.",1 UNIT,"$15,040.00",0.75,,26320.00,95
,,,,,,,,26320.00,
Trims,,,,,,,,,
Trims,General Areas,New Baseboards Installation,Installation of new baseboards throughout the new extension areas.,1 UNIT,"$1,600.00",0.75,,2800.00,95
,,,,,,,,2800.00,
General Requirements,,,,,,,,,
General Requirements,General Areas,Final Cleaning,Professional post-construction cleaning of the entire house.,1 UNIT,"$4,500.00",0.75,,7875.00,95
,,,,,,,,7875.00,
Accessories,,,,,,,,,
Accessories,1st Floor - Powder Room,Accessory Installation,"Install all finish accessories in the powder room (vanities, medicine cabinets, towel bars, toilet paper holders, etc).",1 UNIT,"$1,440.00",0.75,,2520.00,95
,,,,,,,,2520.00,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",0-60 SF,"$2,200 per UNIT",0.75,,3850,95
