Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,Full gut of kitchen - cabinets countertops appliances.,1 UNIT,$5775 per UNIT,0.75,,5775,95
Demolition,Primary Bathroom,Bathroom Demolition,Full gut primary bathroom (89 SF).,1 UNIT,$5775 per UNIT,0.75,,5775,95
Demolition,Shared Bathroom,Bathroom Demolition,Full gut shared bathroom (58 SF).,1 UNIT,$4813 per UNIT,0.75,,4813,95
Demolition,In-Suite Bathroom,Bathroom Demolition,Full gut in-suite bathroom (65 SF).,1 UNIT,$4813 per UNIT,0.75,,4813,95
Demolition,12th Floor,General Demolition,Demolition for stair remodel and flooring prep.,400 SF,$12.25 per SF,0.75,,4900,85
,,,,,,,,26076.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,11th Floor,New Partitions,Framing and drywall for new walls (laundry relocation closets coffee station).,80 LF,$45 per LF,0.75,,3150,85
Walls & Ceiling,Bathrooms,Moisture Resistant Drywall,Green board in all 3 bathrooms.,3 UNIT,$3850 per UNIT,0.75,,11550,90
Walls & Ceiling,Kitchen,Kitchen Drywall,Moisture resistant drywall in kitchen.,1 UNIT,$1925 per UNIT,0.75,,3369,90
,,,,,,,,18069.00,
Plumbing,,,,,,,,,
Plumbing,Primary Bathroom,Full Bath Plumbing,Rough plumbing - tub toilet shower double vanity (89 SF).,1 UNIT,$9900 per UNIT,0.75,,17325,95
Plumbing,Shared Bathroom,Bathroom Plumbing,Rough plumbing for shared bathroom.,1 UNIT,$8800 per UNIT,0.75,,15400,95
Plumbing,In-Suite Bathroom,Bathroom Plumbing,Rough plumbing for in-suite bathroom.,1 UNIT,$8800 per UNIT,0.75,,15400,95
Plumbing,Kitchen,Kitchen Plumbing,Full gut kitchen - 2 sink (island + main).,1 UNIT,$4950 per UNIT,0.75,,8663,95
Plumbing,Laundry,Washer Dryer Relocation,Relocate laundry to new location.,1 UNIT,$3350 per UNIT,0.75,,5863,95
,,,,,,,,63651.00,
Waterproofing,,,,,,,,,
Waterproofing,Primary Bathroom,Waterproofing,Membrane floors and walls (89 SF).,1 UNIT,$2250 per UNIT,0.75,,3938,95
Waterproofing,Shared Bathroom,Waterproofing,Membrane floors and walls (58 SF).,1 UNIT,$2100 per UNIT,0.75,,3675,95
Waterproofing,In-Suite Bathroom,Waterproofing,Membrane floors and walls (65 SF).,1 UNIT,$2100 per UNIT,0.75,,3675,95
,,,,,,,,11288.00,
Tile,,,,,,,,,
Tile,Primary Bathroom,Tile Installation,Floor and wall tile - 89 SF floor ~120 SF walls.,1 UNIT,$6800 per UNIT,0.80,,12240,95
Tile,Shared Bathroom,Tile Installation,Floor and wall tile - 58 SF.,1 UNIT,$5700 per UNIT,0.80,,10260,95
Tile,In-Suite Bathroom,Tile Installation,Floor and wall tile - 65 SF.,1 UNIT,$5700 per UNIT,0.80,,10260,95
Tile,Kitchen,Kitchen Tile,Kitchen flooring tile.,1 UNIT,$2800 per UNIT,0.80,,4900,90
,,,,,,,,37260.00,
Bathroom Fixtures,,,,,,,,,
Bathroom Fixtures,Primary Bathroom,Vanity Double Sink,Double vanity with stone top.,2 EA,$1663 per EA,0.75,,3326,95
Bathroom Fixtures,Primary Bathroom,Free-Standing Tub,Supply and install.,1 UNIT,$950 per UNIT,0.75,,1663,95
Bathroom Fixtures,Primary Bathroom,Toilet,New toilet.,1 UNIT,$650 per UNIT,0.75,,1138,95
Bathroom Fixtures,Primary Bathroom,Shower,Shower with steam - glass enclosure.,1 UNIT,$1800 + $3500 enclosure,0.75,,9281,95
Bathroom Fixtures,Shared Bathroom,Vanity,Single vanity.,1 UNIT,$1663 per UNIT,0.75,,2910,95
Bathroom Fixtures,Shared Bathroom,Toilet,New toilet.,1 UNIT,$1138 per UNIT,0.75,,1138,95
Bathroom Fixtures,Shared Bathroom,Shower,Tub to shower or new shower.,1 UNIT,$1800 per UNIT,0.75,,3150,95
Bathroom Fixtures,In-Suite Bathroom,Vanity,Vanity with fixtures.,1 UNIT,$1663 per UNIT,0.75,,2910,95
Bathroom Fixtures,In-Suite Bathroom,Toilet,New toilet.,1 UNIT,$1138 per UNIT,0.75,,1138,95
Bathroom Fixtures,In-Suite Bathroom,Shower,Shower installation.,1 UNIT,$1800 per UNIT,0.75,,3150,95
,,,,,,,,28665.00,
Electrical,,,,,,,,,
Electrical,Kitchen,Kitchen Electrical,Rough electrical outlets lighting undercabinet.,1 UNIT,$3500 per UNIT,0.75,,6125,95
Electrical,Primary Bathroom,Bathroom Electrical,Outlets lighting exhaust.,1 UNIT,$3500 per UNIT,0.75,,6125,95
Electrical,Shared Bathroom,Bathroom Electrical,Outlets lighting exhaust.,1 UNIT,$3500 per UNIT,0.75,,6125,95
Electrical,In-Suite Bathroom,Bathroom Electrical,Outlets lighting exhaust.,1 UNIT,$3500 per UNIT,0.75,,6125,95
Electrical,Laundry,Washer Dryer Circuits,Dedicated lines for relocated W/D.,1 UNIT,$1500 per UNIT,0.75,,2625,95
Electrical,11th Floor,General Electrical,New outlets switches lighting for renovated areas.,1 UNIT,$3500 per UNIT,0.75,,6125,85
Electrical,12th Floor,General Electrical,New outlets switches lighting.,1 UNIT,$3500 per UNIT,0.75,,6125,85
Electrical,Coffee Station,Coffee Station Electrical,Dedicated circuit for built-in coffee and UC fridge.,1 UNIT,$495 per UNIT,0.75,,866,85
,,,,,,,,38846.00,
Flooring,,,,,,,,,
Flooring,12th Floor,New Hardwood,New wood flooring throughout entire 12th floor.,1300 SF,$10.50 per SF,0.75,,13650,95
Flooring,11th Floor,Hardwood Refinish,Paint/stain touch-up in renovated areas - partial.,400 SF,$10.50 per SF,0.75,,4200,85
,,,,,,,,17850.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,11th Floor,Painting,Walls and ceilings in renovated areas.,1800 SF,$6.13 per SF,0.75,,11034,90
Painting & Wall Coverings,12th Floor,Painting,Walls and ceilings.,1300 SF,$6.13 per SF,0.75,,7969,90
,,,,,,,,19003.00,
Trims,,,,,,,,,
