Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Entire Apartment,Flooring Demolition,Demolition of existing flooring throughout the entire apartment.,1183.1 SF,$4 per SF,0.75,,8271.725,95
Demolition,Bathrooms,Bathroom Demolition,"Removal of mirrors, glass elements, and bidet per transcript.",2 UNIT,"$2,200 per UNIT",0.75,,7700,90
,,,,,,,,15971.73,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Vanity and Fixture Replacement,"Replacement of vanity and fixtures, including raising vanity height and considering double sinks.",1 UNIT,$8800 per UNIT,0.75,,15400,90
Plumbing,Bathroom 2,Vanity and Fixture Replacement,"Replacement of vanity and fixtures, including raising vanity height.",1 UNIT,$7700 per UNIT,0.75,,13475,90
,,,,,,,,28875.00,
Electrical,,,,,,,,,
Electrical,Entire Apartment,Electrical Rewiring,Rewiring of the entire apartment to accommodate new fixtures and appliances.,1183.1 SF,$17 per SF,0.75,,35252.175,85
,,,,,,,,35252.18,
Flooring,,,,,,,,,
Flooring,Living Areas,Interlocking Wood Flooring Installation,Installation of Brazilian Amor interlocking wood flooring throughout living areas.,733.1 SF,$6 per SF,0.75,,7693.725,95
,,,,,,,,7693.73,
Tile,,,,,,,,,
Tile,Bathrooms,Wood-Look Tile Installation,Installation of tile that mimics wood in all bathrooms.,208 SF,"$2,700 per bathroom",0.80,,9720,90
,,,,,,,,9720.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Countertop Refresh,Minor refresh of existing kitchen countertops.,45 SF,$97 per SF,0.75,,13763.75,85
,,,,,,,,13763.75,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Backsplash Installation,Installation of new tile backsplash in the kitchen.,15 SF,$1650 per 10 SF,0.80,,3960,90
,,,,,,,,3960.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Living Areas,Painting,"Painting walls and ceilings in living areas and bedrooms (per transcript).",733.1 SF,$10.3 per SF,0.75,,13214.88,90
,,,,,,,,13214.88,
Doors & Openings,,,,,,,,,
Doors & Openings,Multiple,Door Work,"Raise door heights (8-10 in), frameless/flat doors, pantry door (per transcript).",1 LS,"$5,000 per LS",0.75,,8750,85
,,,,,,,,8750.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Living,Partial Wall Build-Out,"Half-wall build-out per transcript.",1 LS,"$2,500 per LS",0.75,,4375,85
,,,,,,,,4375.00,
General Requirements,,,,,,,,,
General Requirements,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the apartment post-renovation.,1 UNIT,$2750 per UNIT,0.75,,4812.5,95
,,,,,,,,4812.50,
,,,,,,,,146388.76,
,,,General Conditions (10%),,,,,14638.88,
,,,Grand Total,,,,,161027.64,
