Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,New Staircase Installation,Install a new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
,,,,,,,,2100.00,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.8,nan,3960.0,95.0
,,,,,,,,3960.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,nan,4375.0,90.0
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,nan,3500.0,90.0
,,,,,,,,7875.00,
Cabinetry,,,,,,,,,
Cabinetry,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,nan,22312.5,95.0
,,,,,,,,22312.50,
Countertops,,,,,,,,,
Countertops,First Floor,New Kitchen,"Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,nan,76457.5,95.0
Countertops,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,nan,13763.75,95.0
,,,,,,,,90221.25,
Demolition,,,,,,,,,
Demolition,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",33 SF,"$2,200 per UNIT",0.75,nan,3850.0,95.0
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,nan,3850.0,95.0
Demolition,Bedroom 1,Bedroom Flooring,"Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,nan,4056.75,95.0
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,nan,5775.0,95.0
Demolition,Kitchen,Wall Removal for Open Concept,Remove two walls to create open concept kitchen layout,2 WALLS,"$1,750 per WALL",0.75,%,6125.0,85.0
Demolition,Primary Bathroom,Full Gut Renovation,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,90.0
Demolition,Second Floor,Full Gut Primary Bathroom,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,95.0
Demolition,Secondary Bathroom,Full Gut Renovation,Full gut and renovation of secondary bathroom.,1 UNIT,"$8,800 per UNIT",0.75,nan,15400.0,90.0
,,,,,,,,73706.75,
Doors,,,,,,,,,
