Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove existing fixtures, tiles, and flooring.",55.6 SF,"$2,200 per UNIT",0.75,,3850.0,95.0
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,Install new plumbing for shower conversion and fixtures.,1 UNIT,"$7,700 per UNIT",0.75,,13475.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,Install new floor and wall tiles.,55.6 SF,"$2,600 per 60 SF",0.8,,4680.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Install new vanity, toilet, and shower fixtures.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90.0
Bathroom Renovation,Master Bathroom,Master Bathroom Modernization,"Modernize master bathroom with new fixtures, tile, vanity, toilet. Push wall further if possible. Direct replacement of existing fixtures.",1 UNIT,"$7,700 per UNIT",0.75,,13475.0,90.0
,,,,,,,,37886.25,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Entry,Entry Closet Rebuild,"Remove existing closet and rebuild with integrated bench/seat for putting on shoes, storage underneath, facing new direction.",1 UNIT,"$3,000 per UNIT",0.75,,5250.0,90.0
Cabinetry & Storage,Bedroom,Bedroom Closet Addition,Add new closet in bedroom area.,1 UNIT,"$2,000 per UNIT",0.75,,3500.0,90.0
,,,,,,,,8750.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,375 per UNIT",0.75,,2406.25,85.0
,,,,,,,,2406.25,
Doors & Windows,,,,,,,,,
Doors & Windows,Entire Apartment,Interior Door Replacement,Replace interior doors throughout apartment to make them closer together.,4 UNIT,$500 per UNIT,0.75,,3500.0,85.0
Doors & Windows,Bedroom,Window Installation,Install large fixed pane window for lighting in bedroom area.,1 UNIT,"$2,000 per UNIT",0.75,,3500.0,85.0
,,,,,,,,7000.00,
Electrical,,,,,,,,,
Electrical,Master Bathroom,Master Bathroom Electrical,"Install new vanity lighting, exhaust fan, and GFCI outlets for master bathroom.",1 UNIT,"$3,500 per UNIT",0.75,,6125.0,90.0
Electrical,Hallway,Hallway Lighting,Install 2 new recessed lights in hallway area.,2 UNIT,$300 per UNIT,0.75,,1050.0,95.0
Electrical,Bedroom,Bedroom Electrical,"Install new outlets, switches, and light fixtures in bedroom.",1 UNIT,"$3,500 per UNIT",0.75,,6125.0,90.0
,,,,,,,,13300.00,
Flooring,,,,,,,,,
Flooring,Bedroom,Bedroom Flooring,Install new hardwood flooring for bedroom area.,150 SF,$6 per SF,0.75,,1575.0,90.0
Flooring,Hallway,Hallway Flooring,Install new hardwood flooring for hallway area.,100 SF,$6 per SF,0.75,,1050.0,90.0
Flooring,Entry,Entry Flooring,Install new hardwood flooring for entry area.,50 SF,$6 per SF,0.75,,525.0,90.0
