Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal. | Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",61 SF,"$2,200 per UNIT",0.75,,11550.0,95.0
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines. | Full gut plumbing for bathroom with existing location fixtures. | Full gut plumbing for existing location.",1 UNIT,"$7,700 per UNIT",0.75,,40425.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting, heated floor electrical. | Installation of bathroom electrical systems including lighting and outlets.",1 UNIT + 61 SF,"$3,500 per UNIT",0.75,,12250.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing. | Installation of floor and wall tiles.",61 SF,"$2,600 per UNIT",0.8,,14040.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90.0
Bathroom Renovation,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal. | Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",32 SF,"$2,200 per UNIT",0.75,,7700.0,95.0
Bathroom Renovation,Bathroom 2,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines. | Full gut plumbing for existing location.",1 UNIT,"$7,700 per UNIT",0.75,,26950.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing. | Installation of floor and wall tiles.",32 SF,"$2,600 per UNIT",0.8,,9360.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90.0
Bathroom Renovation,Bathroom 1,Bathroom Flooring,Installation of waterproof flooring.,61 SF,$6 per SF,0.75,,641.25,95.0
Bedroom Renovation,Bedroom,Bedroom Flooring,"Install new flooring, including subfloor preparation, transition strips, and closet flooring. | Installation of engineered laminate flooring. | Installation of new hardwood flooring.",110 SF,$6 per SF,0.75,,3465.0,90.0
Bedroom Renovation,Bedroom,Bedroom Painting,"Prepare and paint walls and ceiling, including primer application and closet painting. | Painting of walls and ceiling.",110 SF,$10.3 per SF,0.75,,5946.25,90.0
Bedroom Renovation,Bedroom,Bedroom Electrical,"Install outlets, switches, light fixtures, ceiling fans, closet lighting, bedside outlets, and USB outlets. | Installation of electrical systems including outlets and lighting. | Installation of outlets, switches, and light fixtures.",1 UNIT + 110 SF,"$3,500 per UNIT",0.75,,18375.0,90.0
Bedroom Renovation,Bedroom,Bedroom Trim,"Install baseboards, window casings, door casings, and closet trim. | Installation of baseboards and crown molding.",110 LF + 110 SF,$5 per LF,0.75,,1443.75,90.0
Bedroom Renovation,Bedroom,Bedroom Closet,"Install closet system, including shelving, hanging rods, lighting, and doors.",1 UNIT,"$1,155 per UNIT",0.75,,2021.25,90.0
Commercial Cleaning,Entire House,Post-Construction Cleaning,"Comprehensive cleaning of all renovated areas, including dust removal, floor cleaning, and window washing. | Comprehensive cleaning of all renovated areas.",1 UNIT,"$2,750 per UNIT",0.75,,12512.5,95.0
Commercial Cleaning,Entire House,Commercial Cleaning,Post-construction cleaning of entire house.,1 UNIT,"$4,400 per UNIT",0.75,,7700.0,95.0
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing connections. Debris removal and disposal. | Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",210 SF,"$3,300 per UNIT",0.75,,17325.0,95.0
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Install rough plumbing, kitchen sink, garbage disposal, water supply lines, drain lines, and shut-off valves. | Full gut plumbing for kitchen with one sink. | Full gut plumbing for existing location with 1 sink.",1 UNIT,"$3,850 per UNIT",0.75,,20212.5,90.0
Kitchen Renovation,Kitchen,Kitchen Electrical,"Install rough electrical, kitchen lighting circuits, under-cabinet lighting, GFCI outlets, switch installation, panel upgrades, range hood electrical, kitchen island electrical, pendant light installation, dimmer switches. | Rewiring and installation of kitchen electrical systems including outlets, lighting, and appliances. | Rough electrical wiring, GFCI outlet installation, under-cabinet lighting, pendant light installation, range hood electrical, island electrical, dimmer switch installation.",1 UNIT + 210 SF,"$3,500 per UNIT",0.75,,18497.5,90.0
Kitchen Renovation,Kitchen,Kitchen Flooring,"Install new engineered flooring, including subfloor preparation, transition strips, floor trim, and underlayment. | Installation of engineered laminate flooring.",210 SF,$6 per SF,0.75,,4410.0,90.0
