Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,General,Pre-construction site preparation,"Pre-construction site preparation -Protect and seal entry doors, grilles, and other openings at the house. -Set up zipper walls and containments to prevent dust from spreading to other areas as required by the construction scope of work.",1 UNIT,"$2,500.00 per UNIT",0.00,,2500.00,90
Demolition,General,Demolition of existing structures,"Existing House -Demolition and removal of existing siding, trim, and sheathing at the existing wall where the new extension will connect. -Demolition and removal of structural wall framing to create new opening for the new extension. -Removal of existing bay window and other windows. -Demolition and removal of existing roof, overhangs, gutters, or eaves as needed for proper roof tie-in with the new extension. *Debris removal and disposal included",600 SF,$7.00 per SF,0.00,,4200.00,90
,,,,,,,,11725.00,
Doors,,,,,,,,,
Doors,General,New Doors Installation,"New Extension Area -Installation of (6) new standard interior doors, door frames, and door trims throughout the new extension area. *Doors and Hardware not included",8 UNIT,$550.00 per UNIT,0.00,,4400.00,90
,,,,,,,,7700.00,
Electrical,,,,,,,,,
Electrical,General,Electrical,New Extension Area -Supply and install new electrical panel for panel upgrade at existing location. -Supply and install (12) new outlets throughout the bedrooms in the new extension area as per code requirements at new locations. -Install (6) new light fixtures throughout the new extension area at new locations. -Supply and install (6) new switches throughout the new extension area at new locations. *Light fixtures not included *All electrical work to be done by a licensed insured electrician,4 UNIT,"$3,500.00 per UNIT",0.00,,14000.00,90
,,,,,,,,24500.00,
Flooring,,,,,,,,,
Flooring,General,2nd Floor Extension Flooring Installation,"2nd Floor New Extension Area -Supply and install engineered floor joist system throughout the new 2nd floor extension, including rim boards and intermediate blocking. -Supply and install all required structural connectors, joist hangers, and hardware per manufacturer and code. -Supply and install new subflooring over new level floor joists. -Supply and install acoustic flooring underlayment throughout the new bedroom in the new 2nd floor extension. -Installation of new hardwood flooring throughout the new 2nd floor extension. *Hardwood flooring material not included",600 SF,$7.00 per SF,0.00,,4200.00,90
,,,,,,,,7350.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,General,Painting,"New Extension Area -Supply and apply 1 coat of primer and 2 coats of paint on walls, ceiling, frames, and doors throughout the new extension areas. *Benjamin Moore regal select",1200 SF,$4.50 per SF,0.00,,5400.00,90
,,,,,,,,9450.00,
Plumbing,,,,,,,,,
Plumbing,General,New Interior Partition Walls,"1st & 2nd Floor New Extension Area -Frame all interior partition walls with 2ֳ—4 studs at 16"" OC, including top and bottom plates, blocking, and framing. -Provide framing for plumbing and mechanical runs where required, including soffits or fur-downs. -Supply and install all required structural hardware, bracing, and fire-blocking per code. -Supply and install drywall on both sides of all interior walls. *Tape, plaster, sand, and prepare walls to the above spaces to receive new finishes",1200 SF,$8.00 per SF,0.00,,9600.00,90
