Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Full Gut Demo,"Full removal of existing 7 cabinets, countertops, backsplash, sink, and all appliances (fridge, stove, dishwasher). Kitchen 86 SF, 11' run. Disconnect and protect utilities (DEMO-02: 10ft+).",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,90
Demolition,Bathroom,Bathroom Full Gut Demo,"Full removal of bathtub, vanity cabinet, sink, toilet, wall tiles, and floor tiles. Bathroom 30 SF per Polycam (DEMO-03: 0>60 SF).",1 UNIT,"$2,200 per UNIT",0.75,,3850.0,90
Demolition,Living / Common Areas,Floor Tile Demo - Apartment & Balcony,"Remove existing floor tiles in living room (260 SF), laundry (35 SF), hallway (31 SF), entry (5 SF), and balcony (~46 SF). Total 377 SF. Kitchen and bathroom demo covered separately.",377 SF,$5 per SF,0.75,,3298.75,90
Demolition,Kitchen,Kitchen Soffit Removal,"Remove existing soffit above kitchen area only to raise ceiling height. Keep living room soffit intact (contains AC, sprinkler, and duct systems). ~86 SF of soffit.",1 LS,"$1,500 per LS",0.75,,2625.0,90
Demolition,Kitchen,Peninsula / Bar Structure Removal,Remove existing peninsula bar and supporting wall structure. Clear area for new extended kitchen layout with relocated peninsula.,1 LS,$800 per LS,0.75,,1400.0,90
,,,,,,,,16948.75,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Kitchen,Kitchen Moisture-Resistant Drywall,Install new moisture-resistant drywall behind cabinets and backsplash area after full gut. 11' kitchen run (CARP-09: 10ft+).,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,90
Walls & Ceiling,Bathroom,Bathroom Moisture-Resistant Drywall,Install new moisture-resistant drywall in bathroom. 30 SF bathroom (CARP-05: 0>60 SF).,1 UNIT,"$1,225 per UNIT",0.75,,2143.75,90
Walls & Ceiling,Kitchen,Dropped Ceiling - Kitchen,"After soffit removal, install 3"" metal frame and drywall ceiling on concrete to run electrical for recessed LED lighting. ~86 SF (FRAM-02: $9/SF + CARP-11: $4.95/SF).",86 SF,$13.95 per SF,0.75,,2099.47,90
Walls & Ceiling,Living Room,LED Ceiling Channel - Living Room,"Install 8""x8"" dropped drywall channel in center of living room ceiling for LED strip lighting. Run power from existing junction. ~20 LF.",1 LS,"$1,200 per LS",0.75,,2100.0,90
Walls & Ceiling,Kitchen,Wall Extension for Peninsula Cabinets,Extend existing wall to accommodate new kitchen cabinet layout. Peninsula wall needs ~4 LF extension to hold upper cabinets flush to ceiling (CARP-01: $45/LF + drywall).,1 LS,$700 per LS,0.75,,1225.0,90
Walls & Ceiling,Entire Apartment,Drywall Repair & Patching,"Touch-up and repair existing drywall throughout where demo work affected surfaces. Fill, spackle, and smooth finish. Prep for wallpaper or paint.",1 LS,"$1,500 per LS",0.75,,2625.0,90
Walls & Ceiling,Bathroom,Pocket Door Installation,"Install pocket door at bathroom entry, replacing existing swing door. Includes framing, drywall, and hardware (DOOR-02: $1,320).",1 UNIT,"$1,320 per UNIT",0.75,,2310.0,90
,,,,,,,,15871.97,
Plumbing,,,,,,,,,
Plumbing,Bathroom,Bathroom Plumbing - Full Gut & Relocation,"Complete bathroom plumbing: relocate shower faucet to far end, rain head shower at opposite end, new linear drain. Connect to existing waste/supply. Bathroom 30 SF (PLMB-04: relocation, 0>60 SF).",1 UNIT,"$8,800 per UNIT",0.75,,15400.0,90
Plumbing,Bathroom,Tub to Shower Conversion + Linear Drain,Convert existing bathtub drain/waste to walk-in shower configuration with linear drain. Includes drain relocation and new shower pan prep (PLMB-07 + linear drain).,1 LS,"$2,175 per LS",0.75,,3806.25,90
Plumbing,Kitchen,Kitchen Plumbing - Sink Relocation,"Relocate kitchen sink from existing position to back wall (under window side). Run new hot/cold water supply lines and waste for new layout. Cooktop goes to peninsula. 11' kitchen (PLMB-11: new location, 10ft+).",1 UNIT,"$6,050 per UNIT",0.75,,10587.5,90
,,,,,,,,29793.75,
Electrical,,,,,,,,,
Electrical,Entire Apartment,"3"" LED Recessed Lights","Install 3"" multi-color switchable LED recessed lights (2700K-5000K, settling on 3000K). 6 in kitchen new ceiling (ELEC-09), 10 in living room/bath/other existing ceilings (ELEC-15). 16 total.",16 UNIT,$362 per UNIT,0.75,,10136.0,90
Electrical,Kitchen / Living Room,"Pendant J-Boxes, Under-Cabinet & Cable","(2) pendant light J-boxes in kitchen/living area (ELEC-14), under-cabinet LED lighting for kitchen perimeter (ELEC-24), and cable/data routing across ceiling to far wall.",1 LS,"$2,880 per LS",0.75,,5040.0,90
Electrical,Kitchen / Bathroom,"Outlets, GFI & Switches - New/Existing","(6) outlets and switches at new locations for kitchen layout changes (ELEC-12/10), (4) at existing locations for bathroom GFI and general use (ELEC-06/04). 10 devices total.",10 UNIT,$311 per UNIT,0.75,,5442.5,90
Electrical,Kitchen,Dedicated Circuit - Electric Cooktop,Install new dedicated electrical circuit for electric cooktop on peninsula (ELEC-21: $495).,1 UNIT,$495 per UNIT,0.75,,866.25,90
,,,,,,,,21484.75,
Flooring,,,,,,,,,
Flooring,Entire Apartment,Self-Leveling Compound - Floor Prep,"Apply self-leveling compound on concrete slab to achieve flat substrate for large format 48x48 tile. Required for 1/8"" over 10' tolerance. Allowance for ~250 SF of high spots (FINSH-15: $3/SF).",250 SF,$3 per SF,0.75,,1312.5,80
,,,,,,,,1312.50,
Tile,,,,,,,,,
Tile,Kitchen,Kitchen Floor Tile - Large Format,Install 48x48 (2'x4') large format white floor tile in kitchen. 86 SF. Tile supplied by owner (TILE-07: kitchen flooring).,1 UNIT,"$2,400 per UNIT",0.8,,4320.0,90
Tile,Living / Common / Balcony,Floor Tile - Large Format Apartment + Balcony,"Install 48x48 (2'x4') large format white tile throughout living room (260 SF), hallway (31 SF), laundry (35 SF), entry (5 SF), and balcony (~46 SF) uninterrupted. Total 377 SF. Tile selected by owner (FINSH-04: $18/SF).",377 SF,$18 per SF,0.8,,12214.8,90
Tile,Bathroom,Bathroom Floor Tile,Install floor tile in bathroom. 30 SF. Tile selected by owner (TILE-02: 0>60 SF).,1 UNIT,"$2,000 per UNIT",0.8,,3600.0,90
Tile,Bathroom,Bathroom Wall Tile,"Install wall tile in bathroom - full height in shower area, standard height elsewhere. 127 SF wall area (excl openings per Polycam). Tile selected by owner (TILE-01: 0>60 SF).",1 UNIT,"$2,600 per UNIT",0.8,,4680.0,90
,,,,,,,,24814.80,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Entire Apartment,Ceiling Painting - Entire Apartment,"Paint all ceilings throughout apartment. 446 SF livable area. Prep, prime, and 2 coats (FINSH-02: $4/SF on ceiling area).",446 SF,$4 per SF,0.75,,3122.0,90
