Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775.00,95
Demolition,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$2,750 per UNIT",0.75,,4812.50,95
Demolition,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing. Debris removal and disposal.",1 UNIT,"$3,300 per UNIT",0.75,,5775.00,95
Demolition,Bathroom 3,Bathroom Demolition,"Full gut of bathroom 3 including removal of fixtures, tub, tile, and flooring (DEMO-04: 60-80sf).",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
,,,,,,,,21175.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Bedroom 1,Install dropped ceiling,Install new dropped ceiling in Bedroom 1.,189.5 SF,$9 per SF,0.75,,2987.625,90
Walls & Ceiling,Bedroom 2,Install dropped ceiling,Install new dropped ceiling in Bedroom 2.,110.6 SF,$9 per SF,0.75,,1743.45,90
Walls & Ceiling,Kitchen,Install dropped ceiling,Install dropped ceiling section for recessed lighting in kitchen (concrete ceiling). FRAM-02.,80 SF,$9 per SF,0.75,,1260.0,90
,,,,,,,,5991.07,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location with double sinks and Japanese toilet.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,90
Plumbing,Bathroom 1,Bathroom Fixtures,"Install new vanity, double sinks, and Japanese toilet. Glass enclosure priced separately.",1 UNIT,"$4,250 per UNIT",0.75,,7437.50,90
Plumbing,Bathroom 2,Bathroom Plumbing,Full gut plumbing for existing location with single sink and shower conversion.,1 UNIT,"$8,800 per UNIT",0.75,,15400.00,90
Plumbing,Bathroom 2,Bathroom Fixtures,Install new vanity and single sink. Glass enclosure priced separately.,1 UNIT,"$4,250 per UNIT",0.75,,7437.50,90
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.50,90
Plumbing,Bathroom 3,Bathroom Rough Plumbing,Full gut plumbing with toilet relocation (shift right for double vanity) and new tub supply lines (PLMB-05: 60-80sf relocation).,1 UNIT,"$9,900 per UNIT",0.75,,17325.0,90
