Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Full gut plumbing replacement for existing location, including toilet, sink, shower/tub installation, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Tile installation for bathroom walls and floors, including grout and sealing.",80 SF,"$4,100 per 80 SF",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, flooring, and debris.",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Rough plumbing, toilet installation, sink installation, shower/tub installation, supply lines, drain lines, vent lines.",1 UNIT,"$8,800 per UNIT",0.75,,15400,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, floor tile installation, wall tile installation, shower tile, grout installation, tile sealing.",60 SF,"$2,600 per 60 SF",0.80,,4680,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Vanity installation, mirror installation, towel bars, toilet paper holder, shower doors, medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",60 SF,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing replacement for existing location.,60 SF,"$7,700 per UNIT",0.75,,13475.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical including vanity lighting and GFCI outlets.,1 UNIT,"$3,500 minimum",0.75,,6125.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,60 SF,"$2,600 per SF",0.80,,4680.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new vanity, mirror, and shower doors.",1 UNIT,$550 per UNIT,0.75,,962.50,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of floor and wall tiles.,1 UNIT,"$4,100 per UNIT",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of vanity, mirror, towel bars, toilet paper holder, shower doors.",1 UNIT,"$1,500 per UNIT",0.75,,2625,85
,,,,,,,,126801.25,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, flooring, and debris.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,"Rough plumbing, toilet installation, sink installation, shower/tub installation, supply lines, drain lines, vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,"Floor tile preparation, floor tile installation, wall tile installation, shower tile, grout installation, tile sealing.",34 SF,"$2,000 per 34 SF",0.80,,3600,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Fixtures,"Vanity installation, mirror installation, towel bars, toilet paper holder, shower doors, medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",34 SF,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing replacement for existing location.,34 SF,"$7,700 per UNIT",0.75,,13475.00,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,Installation of bathroom electrical including vanity lighting and GFCI outlets.,1 UNIT,"$3,500 minimum",0.75,,6125.00,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,34 SF,"$2,600 per SF",0.80,,4680.00,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Fixtures,"Installation of new vanity, mirror, and shower doors.",1 UNIT,$550 per UNIT,0.75,,962.50,85
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of floor and wall tiles.,1 UNIT,"$4,100 per UNIT",0.80,,7380,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Fixtures,"Installation of vanity, mirror, towel bars, toilet paper holder, shower doors.",1 UNIT,"$1,500 per UNIT",0.75,,2625,85
,,,,,,,,92003.75,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of primary bathroom including removal of fixtures, tile, vanity, flooring, and debris removal.",60 SF,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for primary bathroom with tub to shower conversion and new wall-mounted toilet.,1 UNIT,"$8,800 per UNIT",0.75,,15400.00,95
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,Install floor and wall tiles in primary bathroom.,60 SF,"$2,600 per SF",0.80,,4680.00,95
Bathroom Renovation,Bathroom 2,Bathroom Demolition,"Full gut of secondary bathroom including removal of fixtures, tile, vanity, flooring, and debris removal.",34 SF,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for secondary bathroom with shower to tub conversion and new wall-mounted toilet.,1 UNIT,"$8,800 per UNIT",0.75,,15400.00,95
Bathroom Renovation,Bathroom 2,Bathroom Tile Work,Install floor and wall tiles in secondary bathroom.,34 SF,"$2,600 per SF",0.80,,4680.00,95
Bathroom Renovation,Bathroom 1,Tub to Shower Conversion,Convert existing tub to a standing shower.,1 UNIT,"$1,375 per UNIT",0.75,,2406.25,95
Bathroom Renovation,Bathroom 1,Tile Installation - Walls,Install new tiles on bathroom walls.,80 SF,"$3,400 per 60-80 SF",0.80,,6120,90
Bathroom Renovation,Bathroom 1,Tile Installation - Floors,Install new tiles on bathroom floors.,60 SF,"$2,300 per 60-80 SF",0.80,,4140,90
Bathroom Renovation,Bathroom 1,Smart Toilet Installation,Install a new smart toilet.,1 UNIT,$550 per UNIT,0.75,,962.5,85
Bathroom Renovation,Bathroom 1,Vanity Replacement,Remove old vanity and install new vanity.,1 UNIT,"$1,500 per UNIT",0.75,,2625,85
