Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",70 SF,$5 per SF,0.75,,612.5,90
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower/tub, supply lines, drain lines, and vent lines.",1 UNIT,$2500 per UNIT,0.75,,4375,90
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switches, and mirror lighting.",1 UNIT,$1500 per UNIT,0.75,,2625,90
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, grout, and seal tiles.",70 SF,$20 per SF,0.80,,2520,90
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,$2000 per UNIT,0.75,,3500,90
Bathroom Renovation,Bathroom 1,Bathroom Finishing,"Paint walls and ceiling, caulking, trim installation, and final cleanup.",1 UNIT,$1000 per UNIT,0.75,,1750,90
,,,,,,,,15382.50,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,"Comprehensive cleaning of all renovated areas including dust removal, floor cleaning, and window washing.",1 UNIT,$2000 per UNIT,0.75,,3500,90
,,,,,,,,3500.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing. Debris removal and disposal.",200 SF,$5 per SF,0.75,,1750,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Install rough plumbing, kitchen sink, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,$2000 per UNIT,0.75,,3500,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Install rough electrical, lighting circuits, under-cabinet lighting, GFCI outlets, switches, panel upgrades, range hood electrical, island electrical, pendant light installation, and dimmer switches.",1 UNIT,$3000 per UNIT,0.75,,5250,90
Kitchen Renovation,Kitchen,Kitchen Flooring,"Install engineered hardwood flooring including subfloor preparation, underlayment, and transition strips.",200 SF,$10 per SF,0.75,,3500,90
Kitchen Renovation,Kitchen,Kitchen Cabinets,"Install base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",30 LF,$200 per LF,0.75,,10500,90
Kitchen Renovation,Kitchen,Kitchen Countertops,"Template creation, fabrication, and installation of countertops with edge treatments and sink cutouts.",50 SF,$97 per SF,0.75,,13763.75,90
Kitchen Renovation,Kitchen,Kitchen Backsplash,"Install backsplash tile, grout, and seal tiles.",50 SF,$20 per SF,0.80,,1800,90
Kitchen Renovation,Kitchen,Kitchen Appliances,"Install appliances including gas line connections, electrical connections, and ventilation hookups.",1 UNIT,$1500 per UNIT,0.75,,2625,90
Kitchen Renovation,Kitchen,Kitchen Finishing,"Touch-up painting, hardware installation, final cleanup, caulking, and sealing.",1 UNIT,$1000 per UNIT,0.75,,1750,90
,,,,,,,,44438.75,
Living Room Renovation,,,,,,,,,
Living Room Renovation,Living Room,Living Room Flooring,"Install engineered hardwood flooring including subfloor preparation, underlayment, and transition strips.",300 SF,$10 per SF,0.75,,5250,90
Living Room Renovation,Living Room,Living Room Painting,"Prepare walls, apply primer, paint walls and ceiling, and touch-up work.",300 SF,$3 per SF,0.75,,1575,90
Living Room Renovation,Living Room,Living Room Electrical,"Install outlets, switches, light fixtures, ceiling fans, dimmer switches, and floor outlets.",1 UNIT,$2000 per UNIT,0.75,,3500,90
Living Room Renovation,Living Room,Living Room Trim,"Install baseboards, crown molding, window casings, door casings, and quarter round.",300 LF,$5 per LF,0.75,,2625,90
,,,,,,,,12950.00,
,,,,,,,,76271.25,
,,,General Conditions (10%),,,,,7627.12,
,,,Grand Total,,,,,83898.38,
