Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,1359.9 SF,$11 per SF,0.75,,26148.225,85
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$4,950 per UNIT",0.75,,8662.5,85
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,"$5,000 per UNIT",0.75,,8750,85
Basement Renovation,Basement,Basement Finishing,"Finishing of basement including flooring, drywall, and electrical.",1359.9 SF,$11 per SF,0.75,,26148.225,85
,,,,,,,,69708.95,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,Installation of new herringbone flooring.,200 SF,$6 per SF,0.75,,2100,85
Bedroom Renovation,Bedroom,Painting,Painting of walls and ceiling.,200 SF,$10.3 per SF,0.70,,3610,85
,,,,,,,,5710.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$2,750",0.75,,4812.5,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400 per UNIT",0.75,,7700,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,20693.75,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",45 SF,$4 per SF,0.75,,315,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen style.,20 SF,"$2,200 per 10 SF",0.80,,3960,90
