Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence,SourceFloor,SourceRun,DedupKey,Validation
General Requirements,General,Commercial Cleaning,Post-construction commercial cleaning.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95.0,1st Floor,run_20250925_145009_527306c3,,OK
General Requirements,Entire House,Commercial Cleaning,Post-construction cleaning of entire house.,1319 SF,"$1,925 per UNIT",0.75,,3368.75,85.0,1st Floor,run_20250925_145009_527306c3,,OK
General Requirements,Entire House,Commercial Cleaning,Post-construction cleaning for the entire house.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95.0,2nd Floor,run_20250925_145344_0b984aa5,,OK
General Requirements,General,Commercial Cleaning,Post-construction commercial cleaning.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95.0,Basement,run_20250925_145729_81f4e438,,OK
Trims,Bedroom 1,Bedroom Trim,"Baseboard installation, window casings, door casings, and closet trim.",100 LF,$5 per LF,0.75,,875.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,baseboard|bedroom|door|install|trim|window,OK
Trims,Living Room,Living Room Trim,"Baseboard installation, crown molding, window casings, door casings, and quarter round.",100 LF,$5 per LF,0.75,,875.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,baseboard|door|install|living|trim|window,OK
Basement Renovation,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,,4375.0,90.0,2nd Floor,run_20250925_145344_0b984aa5,basement,OK
Electrical,Basement,Rewire Basement,Rewire the basement for better electrical organization.,500 SF,$17 per SF,0.75,,14875.0,90.0,1st Floor,run_20250925_145009_527306c3,basement|electrical,OK
Electrical,Basement,Rewire Basement,Rewire the basement for better electrical organization.,548.6 SF,$17 per SF,0.75,,16347.45,90.0,Basement,run_20250925_145729_81f4e438,basement|electrical,OK
Tile,Basement,Tile Installation,Install new tile flooring in the basement.,500 SF,$6 per SF,0.8,,5400.0,90.0,1st Floor,run_20250925_145009_527306c3,basement|floor|flooring|install|tile,OK
Tile,Basement,Tile Installation,Install tile flooring in basement.,500 SF,$6 per SF,0.8,,5400.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,basement|floor|flooring|install|tile,OK
Tile,Basement,Tile Installation,Install new tile flooring in the basement.,548.6 SF,$6 per SF,0.8,,5912.64,90.0,Basement,run_20250925_145729_81f4e438,basement|floor|flooring|install|tile,Flooring quantity (548.6 sf) seems high for basement
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,,3500.0,90.0,1st Floor,run_20250925_145009_527306c3,basement|refinish,OK
Basement Renovation,Basement,Basement Refinishing,Refinish basement including walls and ceilings.,500 SF,$4 per SF,0.75,,3500.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,basement|refinish,OK
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,548.6 SF,$4 per SF,0.75,,3830.05,90.0,Basement,run_20250925_145729_81f4e438,basement|refinish,OK
Basement Renovation,Basement,Replace Staircase,Replace the existing staircase in the basement.,1 UNIT,"$1,200 per UNIT",0.75,,2100.0,85.0,1st Floor,run_20250925_145009_527306c3,basement|replace,OK
Basement Renovation,Basement,Replace Staircase,Replace existing basement staircase.,1 UNIT,"$1,200 per UNIT",0.75,,2100.0,85.0,Basement,run_20250925_145729_81f4e438,basement|replace,OK
Demolition,Primary Bathroom,Full Gut Renovation,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325.0,90.0,2nd Floor,run_20250925_145344_0b984aa5,bathroom,OK
Demolition,Secondary Bathroom,Full Gut Renovation,Full gut and renovation of secondary bathroom.,1 UNIT,"$8,800 per UNIT",0.75,,15400.0,90.0,2nd Floor,run_20250925_145344_0b984aa5,bathroom,OK
Demolition,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",33 SF,"$2,200 per UNIT",0.75,,3850.0,95.0,1st Floor,run_20250925_145009_527306c3,bathroom|demolition|floor|flooring|tile,OK
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,bathroom|demolition|floor|flooring|tile,OK
Electrical,Bathroom,Bathroom Electrical,Installation of bathroom electrical systems including GFCI outlets and lighting.,33 SF,$17 per SF,0.75,,984.375,90.0,1st Floor,run_20250925_145009_527306c3,bathroom|electrical|install,OK
Demolition,Second Floor,Full Gut Bathrooms,Full gut renovation of primary and secondary bathrooms.,2 UNIT,"$9,900 per UNIT",0.75,,34650.0,90.0,1st Floor,run_20250925_145009_527306c3,bathroom|floor,OK
Demolition,Second Floor,Full Gut Primary Bathroom,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325.0,95.0,Basement,run_20250925_145729_81f4e438,bathroom|floor,OK
