Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, and drain lines.",1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, and GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, grout, and seal tiles.",666 SF,"$4,100 per UNIT",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, GFCI outlets, and mirror lighting.",666 SF,$17 per SF,0.75,,14182.5,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Install floor and wall tiles.,666 SF,"$4,100 per 80 SF",0.80,,30750,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,"$2,000 per UNIT",0.75,,3500,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per unit",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per unit",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical including GFCI outlets and lighting.,666 SF,$17 per SF,0.75,,14197.5,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,666 SF,"$2,700 per unit",0.80,,4860,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new bathroom fixtures including vanity, mirror, and shower doors.",1 UNIT,"$1,375 per unit",0.75,,2406.25,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of bathroom electrical systems including outlets, lighting, and exhaust fan.",666 SF,$17 per SF,0.75,,11097.75,90
Bathroom 1 Renovation,Bathroom 1,Install Bathroom Tile,Installation of bathroom floor and wall tiles.,666 SF,"$4,100 per UNIT",0.80,,7380.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",666 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical including GFCI outlets and lighting.,666 SF,$17 per SF,0.75,,19935,90
