Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Full Gut Demo,"Full removal of existing cabinets (11), countertops, sink, appliances, flooring, and wall finishes. Kitchen is 218 SF (DEMO-02: 10ft+).",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,95
Demolition,Bathroom,Bathroom Full Gut Demo,"Full removal of existing vanity, sink, toilet, and wall/floor finishes. Bathroom is 73 SF (DEMO-04: 60-80sf).",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Demolition,Entire House,Carpet Removal,"Remove existing carpeting throughout living rooms, bedrooms, dining room, and foyer. Expose subfloor for new engineered wood. ~1,000 SF.",1000 SF,$3 per SF,0.75,,5250.0,95
Demolition,Kitchen / Dining,Wall Removal - Kitchen to Dining,Remove partition wall between kitchen and dining room to create open-concept layout per client request. ~15 LF. Includes structural header if load-bearing.,1 UNIT,"$3,500 per UNIT",0.75,,6125.0,85
Demolition,Living Room 2 / Dining,Dropped Ceiling Removal,Remove existing fake/dropped ceiling framing and drywall to expose original vaulted ceiling. ~300 SF.,300 SF,$5 per SF,0.75,,2625.0,85
Demolition,Entire House,Door Removal,Remove interior doors for open-concept flow per client direction. 4 doors removed.,4 EA,$150 per EA,0.75,,1050.0,85
Demolition,Terrace,Terrace Mesh & Screen Removal,Remove existing mesh/screen enclosure from terrace adjacent to kitchen.,1 UNIT,$600 per UNIT,0.75,,1050.0,90
Demolition,Guest House,Guest House Full Gut Demo,"Full gut demo of guest house efficiency (~400 SF): remove flooring, kitchenette, existing staircase, wall/ceiling finishes. All debris removed (DEMO-07).",400 SF,$7 per SF,0.75,,4900.0,85
,,,,,,,,31587.50,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Kitchen / Dining,Drywall Repair After Wall Removal,"Patch and finish drywall at kitchen/dining wall removal area. New header framing, drywall, tape, and mud.",1 LS,"$2,500 per LS",0.75,,4375.0,85
Walls & Ceiling,Living Room 2 / Dining,Vaulted Ceiling Repair,"After dropped ceiling removal, repair and finish exposed original vaulted ceiling. Patch, skim coat, and prepare for paint. ~300 SF (FINSH-18).",300 SF,$6 per SF,0.75,,3150.0,85
Walls & Ceiling,Bathroom,Bathroom Moisture-Resistant Drywall,Install new moisture-resistant drywall in bathroom. 73 SF bathroom (CARP-06: 60-80 SF).,1 UNIT,"$2,200 per UNIT",0.75,,3850.0,90
,,,,,,,,11375.00,
Plumbing,,,,,,,,,
Plumbing,Kitchen,Kitchen Plumbing - New Location,"Full gut plumbing at new kitchen location. New water supply, waste, and vent lines for single sink. Kitchen being relocated/reconfigured (PLMB-11).",1 UNIT,"$6,050 per UNIT",0.75,,10587.5,85
Plumbing,Bathroom,Bathroom Rough Plumbing,"Full gut replacement at existing location. New supply lines, waste, and vent for vanity, toilet, and shower (PLMB-02: 60-80sf).",1 UNIT,"$8,800 per UNIT",0.75,,15400.0,90
Plumbing,Second Bathroom,Fixture Replacement,Replace vanity faucet and shower fixtures. Minor plumbing updates at existing locations.,1 UNIT,"$1,500 per UNIT",0.75,,2625.0,85
Plumbing,Kitchen / Laundry,Washer/Dryer Hookup,"Washer/dryer hookup at existing location. Reconnect water supply, drain, and electrical after kitchen renovation (PLMB-16).",1 UNIT,"$2,200 per UNIT",0.75,,3850.0,85
