Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,2187.5,0.75,nan,3828.12,85.0
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,1359.9 SF,4.81,0.75,nan,11446.96,85.0
Basement Renovation,Basement,Theater Room Setup,Prepare basement area for theater room setup.,1 UNIT,2187.5,0.75,nan,3828.12,85.0
Basement Renovation,Basement,Light Gym Area Setup,Provide open gym area with basic equipment layout and floor protection.,1 UNIT,625.0,0.75,nan,1093.75,nan
,,,,,,,,20196.95,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,20 LF,238.44,0.75,nan,8345.40,95.0
,,,,,,,,8345.40,
Countertops,,,,,,,,,
Countertops,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,127.5 SF,76.47,0.75,nan,17062.37,95.0
,,,,,,,,17062.37,
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including cabinet removal, countertop removal, appliance disconnection, flooring removal, backsplash removal, electrical and plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,1443.75,0.75,nan,2526.56,95.0
Demolition,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of old fixtures, tile, vanity, and flooring.",1 UNIT,1443.75,0.75,nan,2526.56,95.0
,,,,,,,,5053.12,
Doors,,,,,,,,,
Doors,Bedroom,Grander Entry Door Upgrade,Upgrade bedroom entry to grander door with hardware.,1 UNIT,612.5,0.75,nan,1071.88,nan
,,,,,,,,1071.88,
Electrical,,,,,,,,,
Electrical,Basement,Basement Finishing,"Finishing of basement including flooring, drywall, and electrical.",1359.9 SF,4.81,0.75,nan,11446.96,85.0
Electrical,Bedroom,Electrical Installation,Installation of bedroom electrical systems including outlets and lighting.,1 unit,1531.25,0.75,nan,2679.69,85.0
Electrical,Bedroom,Electrical Work,"Installation of outlets, switches, and light fixtures.",1 UNIT,1531.25,0.75,nan,2679.69,85.0
Electrical,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel due to wall removal.,1 UNIT,1531.25,0.75,nan,2679.69,85.0
Electrical,Kitchen,Kitchen Electrical,"Installation of kitchen electrical systems including outlets, lighting, and appliances.",1 unit,1531.25,0.75,nan,2679.69,90.0
Electrical,Master Bathroom,Bathroom Electrical,"Includes rough electrical, vanity lighting, exhaust fan installation, and GFCI outlets.",1 UNIT,1531.25,0.75,nan,2679.69,90.0
,,,,,,,,24845.41,
Flooring,,,,,,,,,
Flooring,Bedroom,Flooring Installation,Installation of herringbone hardwood flooring.,364 SF,2.62,0.75,nan,1668.94,90.0
Flooring,Kitchen,Kitchen Flooring,Installation of new kitchen flooring.,127.5 SF,2.62,0.75,nan,584.59,85.0
,,,,,,,,2253.53,
General Requirements,,,,,,,,,
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,1925.0,0.75,nan,3368.75,95.0
,,,,,,,,3368.75,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen aesthetics.,1 UNIT,1050.0,0.75,nan,1837.50,90.0
,,,,,,,,1837.50,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom,Painting,Painting of walls and ceiling.,364.0 SF,5.28,0.7,nan,3267.26,85.0
Painting & Wall Coverings,Kitchen,Kitchen Ceiling Finishes (updates),Refinish/skim and repaint kitchen ceiling to new finish.,1 UNIT,902.5,0.75,nan,1579.38,nan
Painting & Wall Coverings,Master Bathroom,Accent Wall Finish,Create accent wall finish per design (paint/venetian/limewash).,1 UNIT,237.5,0.75,nan,415.62,nan
,,,,,,,,5262.26,
Plumbing,,,,,,,,,
Plumbing,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,2165.62,0.75,nan,3789.84,85.0
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,1684.38,0.75,nan,2947.66,95.0
Plumbing,Master Bathroom,Bathroom Plumbing,Full gut plumbing for bathroom with relocation.,1 UNIT,5293.75,0.75,nan,9264.06,95.0
Plumbing,Master Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,1 UNIT,3850.0,0.75,nan,6737.50,90.0
Plumbing,Master Bathroom,Standing Tub Installation,Supply and install freestanding tub with fittings.,1 UNIT,4331.25,0.75,nan,7579.69,nan
Plumbing,Master Bathroom,Toilet Relocation/Enclosure,"Relocate or enclose toilet for privacy, including rough and finish.",1 UNIT,312.5,0.75,nan,546.88,nan
Plumbing,Basement,New Half Bath (Powder Room),"Construct new half bath with toilet and vanity, complete.",1 UNIT,2125.0,0.75,nan,3718.75,nan
,,,,,,,,34584.38,
Tile,,,,,,,,,
Tile,Master Bathroom,Bathroom Tile Work,Installation of floor and wall tiles for 80-100 sf bathroom.,1 UNIT,2448.0,0.8,nan,4406.40,90.0
,,,,,,,,4406.40,
Trims,,,,,,,,,
Trims,Kitchen,Railings Update (darker/metal finish),Update railings to darker/metal finish coordinated with kitchen design.,1 UNIT,800.0,0.75,nan,1400.00,nan
,,,,,,,,1400.00,
Waterproofing,,,,,,,,,
Waterproofing,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,35 SF,34.65,0.65,nan,2001.04,90.0
,,,,,,,,2001.04,
,,,,,,,,131688.99,
,,,General Conditions (10%),,,,,13168.90,
,,,Grand Total,,,,,144857.89,
