Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom,Bathroom Demolition,"Remove existing fixtures, tile, and flooring.",24.3 SF,"$2,200 per UNIT",0.75,,3850,95
Bathroom Renovation,Bathroom,Plumbing Installation,Install new plumbing for shower conversion.,1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom Renovation,Bathroom,Tile Installation,Install new tile for shower and floor.,24.3 SF,"$2,600 per UNIT",0.80,,4680,90
Bathroom Renovation,Bathroom,Fixture Installation,"Install new bathroom fixtures including shower, sink, and toilet.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom Renovation,Bathroom,Tub to Shower Conversion,Convert existing tub to a shower.,1 UNIT,"$1,375",0.75,,2406.25,95
Bathroom Renovation,Bathroom,Tile Installation,Install new bathroom floor and wall tiles.,24.3 SF,"$2,600 for walls, $2,000 for floors",0.80,,8160,90
Bathroom Renovation,Bathroom,Plumbing Work,"Install new plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$7,700",0.75,,13475,95
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of existing bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom Renovation,Bathroom 1,Plumbing Rough-In,"Rough plumbing for new bathroom layout including toilet, sink, and shower connections.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom Renovation,Bathroom 1,Tile Installation - Walls,Installation of wall tiles in bathroom.,60 SF,"$2,600 per 60 SF",0.80,,4680,90
Bathroom Renovation,Bathroom 1,Tile Installation - Floors,Installation of floor tiles in bathroom.,24 SF,"$2,000 per 60 SF",0.80,,3600,90
Bathroom Renovation,Bathroom 1,Bathroom Fixtures Installation,"Installation of new toilet, vanity, and shower fixtures.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Installation of GFCI outlets, lighting, and exhaust fan.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom Renovation,Bathroom 1,Waterproofing,Installation of waterproofing membrane on floors and walls.,60 SF,"$1,900 per UNIT",0.65,,3135,90
,,,,,,,,85723.75,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,Install new carpet flooring.,150 SF,$6 per SF,0.75,,1575,85
Bedroom Renovation,Bedroom,Painting,Paint walls and ceiling.,308.4 SF,$10.3 per SF,0.75,,5554.35,85
Bedroom Renovation,Bedroom,Electrical Installation,"Install new outlets, switches, and light fixtures.",8 UNIT,$55 per UNIT,0.75,,770,85
