Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Entire House,Full Gut Demolition,"Complete demolition of interior and exterior elements as per plan, including removal of existing partitions, flooring, windows, doors, and stucco.",1 UNIT,"$4,000 per UNIT",0.75,,7000,95
,,,,,,,,7000.00,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Full Gut Replacement,"Complete renovation of bathroom, including plumbing, electrical, and fixtures.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom Renovation,Bathroom 2,Full Gut Replacement,"Complete renovation of bathroom, including plumbing, electrical, and fixtures.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing replacement for existing location.,1 UNIT,"$8,800 per UNIT",0.75,,15400,95
Bathroom Renovation,Bathroom 1,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,1 UNIT,"$3,500 minimum",0.75,,6125,95
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,Installation of new wall and floor tiles.,80 SF,"$3,400 per 60-80 SF",0.80,,6120,90
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new vanity, mirror, and accessories.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
,,,,,,,,61813.75,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Master Bedroom,Flooring Installation,Install new hardwood flooring.,119 SF,$6 per SF,0.75,,1252.5,90
Bedroom Renovation,Master Bedroom,Painting,Paint walls and ceiling.,119 SF,$10.3 per SF,0.75,,2144.78,90
Bedroom Renovation,Bedroom,Bedroom Flooring,Installation of new hardwood flooring.,156 SF,$6 per SF,0.75,,1638,90
Bedroom Renovation,Bedroom,Bedroom Painting,Painting of walls and ceiling.,156 SF,$10.3 per SF,0.75,,2808.9,90
Bedroom Renovation,Bedroom,Bedroom Electrical,Installation of new light fixtures and outlets.,1 UNIT,"$3,500 minimum",0.75,,6125,90
Bedroom Renovation,Bedroom,Bedroom Trim,Installation of baseboards and crown molding.,40 LF,$5 per LF,0.75,,350,90
,,,,,,,,14319.18,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of the entire house post-renovation.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
,,,,,,,,9625.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Cabinet Installation,"Install new kitchen cabinets, including base and wall cabinets.",20 LF,$600 per LF,0.75,,21000,90
Kitchen Renovation,Kitchen,Countertop Installation,"Install new quartz countertops, including fabrication and installation.",45 SF,$97 per SF,Special Formula,,13763.75,90
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash.,20 SF,"$2,200 per 10 SF",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rewiring of kitchen including GFCI outlets, lighting circuits, and appliance connections.",1 UNIT,"$3,500 minimum",0.75,,6125,95
Kitchen Renovation,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,,22312.5,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,90
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of tile backsplash.,10 FT,"$1,650 per 10 FT",0.80,,2970,90
Kitchen Renovation,Kitchen,Kitchen Flooring,Installation of new tile flooring.,80 SF,"$2,400 per 60-80 SF",0.80,,4320,90
,,,,,,,,100727.50,
Living Room Renovation,,,,,,,,,
Living Room Renovation,Living Room,Flooring Installation,Install new hardwood flooring.,253 SF,$6 per SF,0.75,,2657.25,90
Living Room Renovation,Living Room,Painting,Paint walls and ceiling.,253 SF,$10.3 per SF,0.75,,4560.38,90
Living Room Renovation,Living Room,Living Room Flooring,Installation of new hardwood flooring.,253 SF,$6 per SF,0.75,,2652.75,90
Living Room Renovation,Living Room,Living Room Painting,Painting of walls and ceiling.,253 SF,$10.3 per SF,0.75,,4555.88,90
Living Room Renovation,Living Room,Living Room Electrical,Installation of new light fixtures and outlets.,1 UNIT,"$3,500 minimum",0.75,,6125,90
Living Room Renovation,Living Room,Living Room Trim,Installation of baseboards and crown molding.,50 LF,$5 per LF,0.75,,437.5,90
,,,,,,,,20988.76,
Structural Elevation,,,,,,,,,
Structural Elevation,Entire House,House Elevation,"Elevate the house structure to meet FEMA requirements, raising the base flood elevation to 8 feet.",1 UNIT,"$50,000 per UNIT",0.75,,87500,90
,,,,,,,,87500.00,
,,,,,,,,301974.19,
,,,General Conditions (10%),,,,,30197.42,
,,,Grand Total,,,,,332171.61,
