Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,Attic Refinishing,Refinish attic including walls and floors.,500 SF,$4 per SF,0.75,,3500,85
Attic Renovation,Attic,Sound Insulation,Install sound insulation in attic.,500 SF,$5 per SF,0.65,,4125,85
Attic Renovation,Attic,New Staircase Installation,Install new staircase to attic.,1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Attic Renovation,Attic,Barn Door Installation,Install barn door in attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310,85
Attic Renovation,Attic,Lighting Installation,Install new lighting in attic.,5 UNIT,$165 per UNIT,0.75,,1443.75,85
,,,,,,,,17503.75,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Basement Refinishing,Refinish basement including walls and ceilings.,500 SF,$4 per SF,0.75,,3500,85
Basement Renovation,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,,4375,90
Basement Renovation,Basement,Tile Installation,Install tile flooring in basement.,500 SF,$6 per SF,0.80,,5400,85
,,,,,,,,13275.00,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Full gut plumbing replacement for existing location, including rough plumbing, toilet installation, sink installation, shower/tub installation, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475.00,95
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, and heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,95
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, installation, wall tile installation, shower tile, grout installation, and tile sealing.",80 SF,"$4,100 per 80 SF",0.80,,7380.00,95
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Installation of vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,$550 per UNIT,0.75,,962.50,95
,,,,,,,,31792.50,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom 1,Bedroom Flooring,"Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,,4056.75,95
Bedroom Renovation,Bedroom 1,Bedroom Painting,"Wall preparation, primer application, paint walls, paint ceiling, and closet painting.",432 SF,$10.3 per SF,0.75,,7788.00,95
Bedroom Renovation,Bedroom 1,Bedroom Electrical,"Outlet installation, switch installation, light fixtures, ceiling fans, closet lighting, bedside outlets, and USB outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,95
Bedroom Renovation,Bedroom 1,Bedroom Trim,"Baseboard installation, window casings, door casings, and closet trim.",100 LF,$5 per LF,0.75,,875.00,95
,,,,,,,,18844.75,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Whole House,Post-Construction Cleaning,Commercial cleaning after renovation completion.,1 UNIT,"$4,400 per UNIT",0.75,,7700,85
Commercial Cleaning,Entire House,Commercial Cleaning,Post-construction cleaning for the entire house.,1 UNIT,"$2,750 per UNIT",0.75,,4812.50,95
,,,,,,,,12512.50,
First Floor Renovation,,,,,,,,,
First Floor Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, and appliances.",1 UNIT,"$3,300 per UNIT",0.75,,5775,90
First Floor Renovation,Kitchen,New Kitchen Installation,"Install new kitchen including cabinets, countertops, and appliances.",15 LF,"$9,200 per UNIT",0.75,,16100,90
First Floor Renovation,First Floor,Hardwood Floor Installation,Install new hardwood flooring throughout the first floor.,1000 SF,$6 per SF,0.75,,10500,85
First Floor Renovation,First Floor,Ceiling Replacement,Replace ceiling throughout the first floor.,1000 SF,$4.95 per SF,0.75,,8662.5,85
First Floor Renovation,First Floor,Lighting Replacement,Replace lights throughout the first floor.,20 UNIT,$165 per UNIT,0.75,,5775,85
First Floor Renovation,First Floor,Sliding Door Installation,Replace window with sliding door on front balcony.,1 UNIT,"$1,500 per UNIT",0.75,,2625,85
,,,,,,,,49437.50,
General Renovation,,,,,,,,,
General Renovation,Whole House,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$16,500 per UNIT",0.60,,26400,85
General Renovation,Whole House,Wall Patching and Painting,Patch and paint walls throughout the house.,3000 SF,$10.3 per SF,0.70,,52635,85
