Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,New Staircase Installation,Install a new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,,2100,85
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,500 SF,$4 per SF,0.75,,3500,85
,,,,,,,,5600.00,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,Installation of kitchen backsplash tiles.,10 LF,"$2,200 per 10 LF",0.80,,3960,90
,,,,,,,,3960.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,,3500,90
Basement Renovation,Basement,Replace Staircase,Replace the existing staircase in the basement.,1 UNIT,"$1,200 per UNIT",0.75,,2100,85
,,,,,,,,5600.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,,22312.5,95
,,,,,,,,22312.50,
Countertops,,,,,,,,,
Countertops,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",205 SF,"$3,300 per UNIT",0.75,,5775,95
Demolition,Second Floor,Full Gut Bathrooms,Full gut renovation of primary and secondary bathrooms.,2 UNIT,"$9,900 per UNIT",0.75,,34650,90
Demolition,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",33 SF,"$2,200 per UNIT",0.75,,3850,95
,,,,,,,,44275.00,
Doors,,,,,,,,,
Doors,Attic,Barn Door Installation,Install a barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310,85
Doors,First Floor,Replace Window with Sliding Door,Replace the window in the front balcony with a sliding door.,1 UNIT,"$2,500 per UNIT",0.75,,4375,85
,,,,,,,,6685.00,
Electrical,,,,,,,,,
Electrical,Attic,Lights Installation,Install new lights in the attic.,5 UNIT,$165 per UNIT,0.75,,1443.75,85
Electrical,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical systems including outlets, GFCI, and lighting.",205 SF,$17 per SF,0.75,,6118.75,90
Electrical,Bedroom,Bedroom Electrical,"Installation of outlets, switches, and light fixtures.",50 SF,$17 per SF,0.75,,893.75,90
Electrical,First Floor,Replace Lights,Replace lights throughout the first floor.,10 UNIT,$165 per UNIT,0.75,,2887.5,85
Electrical,Living Room,Living Room Electrical,"Installation of outlets, switches, and light fixtures.",246 SF,$17 per SF,0.75,,7331.25,90
