Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,Attic Refinishing,Refinish attic including walls and floors.,500 SF,$4 per SF,0.75,nan,3500.0,85.0
Attic Renovation,Attic,New Staircase Installation,Install a new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
Attic Renovation,Attic,New Staircase Installation,Install new staircase to attic.,1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,85.0
Attic Renovation,Attic,New Staircase Installation,Install new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,500 SF,$4 per SF,0.75,nan,3500.0,85.0
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,548.6 SF,$4 per SF,0.75,nan,3830.05,85.0
,,,,,,,,21155.05,
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,Installation of kitchen backsplash tiles.,10 LF,"$2,200 per 10 LF",0.8,nan,3960.0,90.0
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.8,nan,3960.0,95.0
,,,,,,,,7920.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,nan,4375.0,90.0
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,nan,3500.0,90.0
Basement Renovation,Basement,Basement Refinishing,Refinish basement including walls and ceilings.,500 SF,$4 per SF,0.75,nan,3500.0,85.0
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,548.6 SF,$4 per SF,0.75,nan,3830.05,90.0
Basement Renovation,Basement,Replace Staircase,Replace the existing staircase in the basement.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
Basement Renovation,Basement,Replace Staircase,Replace existing basement staircase.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
,,,,,,,,19405.05,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,nan,22312.5,95.0
Cabinetry & Storage,Kitchen,Kitchen Cabinets,"Installation of standard kitchen cabinets up to 10 FT, including base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",1 UNIT,"$7,600 per UNIT",0.75,nan,13300.0,95.0
,,,,,,,,35612.50,
Countertops,,,,,,,,,
Countertops,First Floor,New Kitchen,"Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,nan,76457.5,95.0
Countertops,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,nan,13763.75,95.0
Countertops,Kitchen,Kitchen Countertops,"Fabrication and installation of quartz countertops, including template creation, edge treatments, and sink cutouts.",45 SF,$97 per SF,0.75,nan,13763.75,95.0
,,,,,,,,103985.00,
Demolition,,,,,,,,,
Demolition,Primary Bathroom,Full Gut Renovation,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,90.0
Demolition,Secondary Bathroom,Full Gut Renovation,Full gut and renovation of secondary bathroom.,1 UNIT,"$8,800 per UNIT",0.75,nan,15400.0,90.0
