Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Attic Renovation,,,,,,,,,
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,548.6 SF,$4 per SF,0.75,,3830.05,85
Attic Renovation,Attic,Sound Insulation,Install sound insulation in the attic.,548.6 SF,$5 per SF,0.65,,4511.95,85
Attic Renovation,Attic,Floor Installation,Install new flooring in the attic.,548.6 SF,$6 per SF,0.75,,5754.45,90
Attic Renovation,Attic,New Staircase Installation,Install new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,,2100.00,85
Attic Renovation,Attic,Barn Door Installation,Install barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310.00,85
Attic Renovation,Attic,Lights Installation,Install lights in the attic.,5 UNIT,$165 per UNIT,0.75,,1443.75,90
,,,,,,,,19950.20,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,548.6 SF,$4 per SF,0.75,,3830.05,90
Basement Renovation,Basement,Close Crawl Space,Close the crawl space on the right side of the entrance with concrete.,1 UNIT,"$2,500 per UNIT",0.75,,4375.00,85
Basement Renovation,Basement,Rewire Basement,Rewire the basement for better electrical organization.,548.6 SF,$17 per SF,0.75,,16347.45,90
Basement Renovation,Basement,Replace Staircase,Replace existing basement staircase.,1 UNIT,"$1,200 per UNIT",0.75,,2100.00,85
Basement Renovation,Basement,Tile Installation,Install new tile flooring in the basement.,548.6 SF,$6 per SF,0.80,,5912.64,90
Basement Renovation,Basement,Spray Foam Insulation,Install spray foam insulation in the basement to improve thermal efficiency.,548.6 SF,QUOTE per SF,0.65,,Assumed based on typical pricing,85
Basement Renovation,Basement,Wall Finishing,Finish basement walls with drywall and paint.,666.6 SF,$4 per SF,0.75,,4666.95,90
Basement Renovation,Basement,Ceiling Finishing,Install and paint new ceiling in the basement.,548.6 SF,$4.95 per SF,0.75,,4743.38,90
Basement Renovation,Basement,Electrical Upgrades,Upgrade electrical system in the basement including outlets and lighting.,10 UNIT,$55 per UNIT,0.75,,962.50,85
Basement Renovation,Basement,Lighting Installation,Install new lighting fixtures in the basement.,5 UNIT,$165 per UNIT,0.75,,1443.75,85
,,,,,,,,44381.72,
First Floor Renovation,,,,,,,,,
First Floor Renovation,First Floor,New Kitchen,"Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,,76457.50,95
First Floor Renovation,First Floor,Remove Walls,Remove two walls to create open concept.,2 UNIT,"$3,300 per UNIT",0.75,,11550.00,90
First Floor Renovation,First Floor,Remove Mud Room,Remove the mud room to expand kitchen area.,1 UNIT,"$2,500 per UNIT",0.75,,4375.00,85
First Floor Renovation,First Floor,Level Floors,Level floors with the extension height of 5 inches.,548.6 SF,$6 per SF,0.75,,5754.45,90
First Floor Renovation,First Floor,Install Hardwood Floor,Install new hardwood flooring throughout the first floor.,548.6 SF,$6 per SF,0.75,,5754.45,90
First Floor Renovation,First Floor,Replace Ceiling,Replace ceiling throughout the first floor.,548.6 SF,$4.95 per SF,0.75,,4740.71,90
First Floor Renovation,First Floor,Replace Lights,Replace lights throughout the first floor.,10 UNIT,$165 per UNIT,0.75,,2887.50,90
First Floor Renovation,First Floor,Replace Window with Sliding Door,Replace the window in the front balcony with a sliding door.,1 UNIT,"$2,500 per UNIT",0.75,,4375.00,85
First Floor Renovation,First Floor,New Washer/Dryer Room,Install new washer and dryer room.,1 UNIT,"$3,850 per UNIT",0.75,,6737.50,85
,,,,,,,,122632.11,
Garage Renovation,,,,,,,,,
Garage Renovation,Garage,Lighting Replacement,Replace existing lighting fixtures in the garage.,3 UNIT,$165 per UNIT,0.75,,866.25,85
Garage Renovation,Garage,Ceiling Painting,Paint the ceiling in the garage.,Assumed 400 SF,$10.3 per SF,0.75,,7207.50,85
,,,,,,,,8073.75,
General Renovation,,,,,,,,,
General Renovation,General,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$16,500 per UNIT",0.60,,26400.00,85
General Renovation,General,Patch and Paint Walls,Patch walls and paint throughout the house.,548.6 SF,$10.3 per SF,0.70,,9630.21,90
General Renovation,General,Commercial Cleaning,Post-construction commercial cleaning.,1 UNIT,"$2,750 per UNIT",0.75,,4812.50,95
General Renovation,General,Commercial Cleaning,Post-renovation commercial cleaning for the entire house.,1 UNIT,"$2,750 per UNIT",0.75,,4812.50,95
,,,,,,,,45655.21,
Second Floor Renovation,,,,,,,,,
Second Floor Renovation,Second Floor,Full Gut Primary Bathroom,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,95
Second Floor Renovation,Second Floor,Full Gut Secondary Bathroom,Full gut and renovation of secondary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,95
Second Floor Renovation,Second Floor,Install New Floors,Install new floors throughout the second floor.,548.6 SF,$6 per SF,0.75,,5754.45,90
Second Floor Renovation,Second Floor,Change Bedroom Layout,Change the layout of the two bedrooms.,2 UNIT,"$2,500 per UNIT",0.75,,8750.00,85
Second Floor Renovation,Second Floor,Replace Bedroom Ceiling,Replace the ceiling in one bedroom.,1 UNIT,$4.95 per SF,0.75,,4740.71,90
,,,,,,,,53895.16,
,,,,,,,,294588.15,
,,,General Conditions (10%),,,,,29458.81,
,,,Grand Total,,,,,324046.96,
