Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Conversion,Convert unfinished basement into a theater room with electrical and sound system setup.,1 UNIT,"$15,000 per UNIT",0.75,,26250.00,85
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$7,150 per UNIT",0.75,,12512.50,85
Basement Renovation,Basement,Mini Wine Cellar Installation,Install mini wine cellar with climate control.,1 UNIT,"$5,000 per UNIT",0.75,,8750.00,85
Basement Renovation,Basement,Basement Finishing,"Finishing of basement including flooring, walls, and ceiling.",1359.9 SF,$11 per SF,0.75,,26148.225,85
,,,,,,,,73660.73,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,Installation of new herringbone flooring in bedroom.,200 SF,$6 per SF,0.75,,2100,85
Bedroom Renovation,Bedroom,Painting,Painting of bedroom walls and ceiling.,200 SF,$10.3 per SF,0.70,,3507,85
,,,,,,,,5607.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400 per UNIT",0.75,,7700.00,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$4,400 per UNIT",0.75,,7700,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,22137.50,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",45 SF,$11 per SF,0.75,,866.25,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen style.,20 SF,"$2,200 per 10 SF",0.80,,3960.00,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install new kitchen island with plumbing and electrical connections.,1 UNIT,"$7,600 per UNIT",0.75,,13300.00,85
Kitchen Renovation,Kitchen,Electrical Upgrades,"Install new GFCI outlets, pendant lighting, and under-cabinet lighting.",10 UNITS,$440 per UNIT,0.75,,7700.00,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen style.,1 UNIT,"$2,400 per LF",0.75,,4200,90
Kitchen Renovation,Kitchen,Countertop Replacement,"Replace existing countertops with new quartz countertops, including waterfall edge for island.",45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match new countertops.,20 SF,"$2,200 per 10 ft",0.80,,3960,90
Kitchen Renovation,Kitchen,Electrical Rewiring for Island,Rewire electrical outlets and lighting for new kitchen island.,1 UNIT,$495 per UNIT,0.75,,866.25,85
Kitchen Renovation,Kitchen,Plumbing for Kitchen Island,Install plumbing for sink and dishwasher in new kitchen island.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,85
Kitchen Renovation,Kitchen,Demolition of Existing Countertops,Remove existing countertops and prepare area for new installation.,45 SF,$5 per SF,0.75,,393.75,90
Kitchen Renovation,Kitchen,Drywall Repair,Repair and paint drywall after wall removal and electrical work.,100 SF,$4 per SF,0.75,,700,85
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,"Installation of new kitchen cabinets, assuming 15 LF of cabinets.",15 LF,"$9,200 per UNIT",0.75,,16100,90
Kitchen Renovation,Kitchen,Kitchen Countertops,"Fabrication and installation of new countertops, assuming 45 SF.",45 SF,$97 per SF,0.75,,13763.75,90
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of new kitchen backsplash.,10 LF,"$2,200 per 10 LF",0.80,,3960,85
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for kitchen with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical components including outlets, switches, and lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300 per UNIT",0.75,,5775.00,90
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,15 LF,"$9,200 per UNIT",0.75,,16100.00,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of kitchen countertops.,45 SF,"($1,500 installation + $97/sqft × SF + $2,000 material) × 1.75 markup",0.75,,13763.75,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for kitchen including sink installation and water lines.,1 UNIT,"$3,850 per UNIT",0.75,,6737.50,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical systems including outlets, lighting, and appliances.",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,90
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of kitchen backsplash tiles.,10 LF,"$2,200 per UNIT",0.80,,3960.00,90
Kitchen Renovation,Kitchen,Kitchen Flooring,Installation of new kitchen flooring.,150 SF,$6 per SF,0.75,,1575.00,90
,,,,,,,,176708.75,
Master Bathroom Renovation,,,,,,,,,
Master Bathroom Renovation,Master Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,1 UNIT,"$8,800 per UNIT",0.75,,15400.00,90
Master Bathroom Renovation,Master Bathroom,Shower Installation,Install new spacious shower with updated fixtures.,1 UNIT,"$9,900 per UNIT",0.75,,17325.00,90
Master Bathroom Renovation,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of fixtures, tile, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Master Bathroom Renovation,Master Bathroom,Bathroom Plumbing,Full gut plumbing for bathroom with relocation of fixtures.,1 UNIT,"$12,100 per UNIT",0.75,,21175,90
Master Bathroom Renovation,Master Bathroom,Bathroom Tile Work,Installation of new tile on bathroom floors and walls.,100 SF,"$4,100 per 80-100 SF",0.80,,7380,90
Master Bathroom Renovation,Master Bathroom,Bathroom Electrical,Installation of bathroom electrical components including lighting and outlets.,1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Master Bathroom Renovation,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,1 UNIT,"$2,250 per UNIT",0.65,,3712.5,85
