Section,Category,Room,ItemName,Description,Total,MentionedInTranscript,MatchedKeywords
,Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,8750.0,Yes,"mini, wine, cellar, basement"
,Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,26148.225,Yes,"theater, room, basement"
,Basement Renovation,Basement,Theater Room Setup,Prepare basement area for theater room setup.,8750.0,Yes,"theater, room, basement"
,Cabinetry & Storage,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,19075.0,Yes,"kitchen, cabinets, installation, kitchen"
,Countertops,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,38997.29,Yes,"countertop, installation, kitchen"
,Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including cabinet removal, countertop removal, appliance disconnection, flooring removal, backsplash removal, electrical and plumbing disconnection, debris removal, and protection of adjacent areas.",5775.0,Yes,"kitchen, kitchen"
,Demolition,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of old fixtures, tile, vanity, and flooring.",5775.0,Yes,"bathroom, master, bathroom"
,Electrical,Basement,Basement Finishing,"Finishing of basement including flooring, drywall, and electrical.",26148.225,Yes,"basement, finishing, basement"
,Electrical,Bedroom,Electrical Installation,Installation of bedroom electrical systems including outlets and lighting.,6125.0,Yes,"installation, bedroom"
,Electrical,Bedroom,Electrical Work,"Installation of outlets, switches, and light fixtures.",6125.0,Yes,"work, bedroom"
,Electrical,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel due to wall removal.,6125.0,Yes,kitchen
,Electrical,Kitchen,Kitchen Electrical,"Installation of kitchen electrical systems including outlets, lighting, and appliances.",6125.0,Yes,"kitchen, kitchen"
,Electrical,Master Bathroom,Bathroom Electrical,"Includes rough electrical, vanity lighting, exhaust fan installation, and GFCI outlets.",6125.0,Yes,"bathroom, master, bathroom"
,Flooring,Bedroom,Flooring Installation,Installation of herringbone hardwood flooring.,3822.0,Yes,"flooring, installation, bedroom"
,Flooring,Kitchen,Kitchen Flooring,Installation of new kitchen flooring.,1338.75,Yes,"kitchen, flooring, kitchen"
,General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,7700.0,Yes,"entire, house"
,Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen aesthetics.,4200.0,Yes,"kitchen, island, installation, kitchen"
,Painting & Wall Coverings,Bedroom,Painting,Painting of walls and ceiling.,6407.6,Yes,"painting, bedroom"
,Plumbing,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,8662.5,Yes,"wet, bar, installation, basement"
,Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,6737.5,Yes,"kitchen, plumbing, kitchen"
,Plumbing,Master Bathroom,Bathroom Plumbing,Full gut plumbing for bathroom with relocation.,21175.0,Yes,"bathroom, plumbing, master, bathroom"
,Plumbing,Master Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,15400.0,Yes,"double, vanity, installation, master, bathroom"
,Tile,Master Bathroom,Bathroom Tile Work,Installation of floor and wall tiles for 80-100 sf bathroom.,12240.0,Yes,"bathroom, tile, work, master, bathroom"
,Waterproofing,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,3465.0,Yes,"bathroom, master, bathroom"
Kitchen,Painting & Wall Coverings,Kitchen,Kitchen Ceiling Finishes (updates),Refinish/skim and repaint kitchen ceiling to new finish.,3610.0,Yes,"kitchen, ceiling, finishes, updates, kitchen"
Kitchen,Trims,Kitchen,Railings Update (darker/metal finish),Update railings to darker/metal finish coordinated with kitchen design.,3200.0,Yes,"railings, update, darker, metal, finish, kitchen"
Master Bathroom,Plumbing,Master Bathroom,Standing Tub Installation,Supply and install freestanding tub with fittings.,17325.0,Yes,"standing, tub, installation, master, bathroom"
Master Bathroom,Plumbing,Master Bathroom,Toilet Relocation/Enclosure,"Relocate or enclose toilet for privacy, including rough and finish.",1250.0,Yes,"toilet, master, bathroom"
Master Bathroom,Painting & Wall Coverings,Master Bathroom,Accent Wall Finish,Create accent wall finish per design (paint/venetian/limewash).,950.0,Yes,"accent, wall, finish, master, bathroom"
Bedrooms,Doors,Bedroom,Grander Entry Door Upgrade,Upgrade bedroom entry to grander door with hardware.,2450.0,Yes,"entry, door, bedroom"
Basement,Basement Renovation,Basement,Light Gym Area Setup,Provide open gym area with basic equipment layout and floor protection.,2500.0,Yes,"light, gym, area, basement"
Basement,Plumbing,Basement,New Half Bath (Powder Room),"Construct new half bath with toilet and vanity, complete.",8500.0,Yes,"new, half, bath, room, basement"
