Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grouting, and sealing.",10 LF,"$2,200 per UNIT",0.00,,2200.00,90
,,,,,,,,3960.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,"Install base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",10 LF,"$7,600 per UNIT",0.00,,7600.00,90
Electrical,Kitchen,Kitchen Electrical,"Install rough electrical, lighting circuits, under-cabinet lighting, GFCI outlets, switches, and panel upgrades.",1 UNIT,"$3,500 per UNIT",0.00,,3500.00,90
,,,,,,,,19425.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Kitchen Countertops,"Template creation, fabrication, and installation of countertops with edge treatments and sink cutouts.",45 SF,Special Formula,0.00,,5005.00,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Full Gut Demolition,"Complete removal of existing fixtures, tile, and finishes in the bathroom.",42 SF,"$2,200 per unit",0.00,,2200.00,95
,,,,,,,,3850.00,
Electrical,,,,,,,,,
Electrical,Bathroom 1,Electrical Work,"Installation of GFCI outlets, lighting fixtures, and exhaust fan.",1 UNIT,"$3,500 minimum",0.00,,3500.00,90
Electrical,Living Room,Electrical Work,"Installation of outlets, switches, and light fixtures.",1 UNIT,"$3,500 minimum",0.00,,3500.00,90
,,,,,,,,12250.00,
Flooring,,,,,,,,,
Flooring,Kitchen,Flooring Installation,Install new hardwood flooring throughout the kitchen.,150 SF,$6 per SF,0.00,,900.00,85
Flooring,Living Room,Flooring Installation,Installation of new hardwood flooring.,620 SF,$6 per SF,0.00,,6200.00,95
,,,,,,,,12425.00,
General Requirements,,,,,,,,,
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750",0.00,,2750.00,95
,,,,,,,,4812.50,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom,Bedroom Painting,"Wall preparation, primer application, paint walls, and ceiling.",200 SF,$10.3 per SF,0.00,,2061.43,90
,,,,,,,,3607.50,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Plumbing Rough-In,"Rough plumbing for new bathroom layout including toilet, vanity, and shower.",1 UNIT,"$8,800 per unit",0.00,,8800.00,95
Plumbing,Kitchen,Kitchen Plumbing,"Install rough plumbing, kitchen sink, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$3,850 per UNIT",0.00,,3850.00,90
Demolition,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing. Protect adjacent areas.",10 LF,"$3,300 per UNIT",0.00,,3300.00,90
,,,,,,,,27912.50,
Tile,,,,,,,,,
Tile,Bathroom 1,Tile Installation,Installation of floor and wall tiles in the bathroom.,42 SF,"$2,600 per unit",0.00,,2600.00,95
,,,,,,,,4680.00,
Trims,,,,,,,,,
