Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Backsplash Installation,Install new tile backsplash to match kitchen aesthetic.,30 SF,"$2,200 per 10 SF",0.80,,5280,90
,,,,,,,,5280.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Setup,Prepare basement area for theater room setup.,1 UNIT,"$5,000 per UNIT",0.75,,8750,85
,,,,,,,,8750.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets,Installation of kitchen cabinets for 11-15 FT.,1 UNIT,"$9,200",0.75,,16100,90
,,,,,,,,16100.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300",0.75,,5775,95
Demolition,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$3,300",0.75,,5775,95
,,,,,,,,11550.00,
Electrical,,,,,,,,,
Electrical,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel for AC due to wall removal.,1 UNIT,"$3,500 minimum",0.75,,6125,85
Electrical,Master Bathroom,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, mirror lighting.",1 UNIT,"$3,500",0.75,,6125,90
Electrical,Bedroom,Electrical Work,"Installation of outlets, switches, and light fixtures.",1 UNIT,"$3,500",0.75,,6125,85
,,,,,,,,18375.00,
Flooring,,,,,,,,,
Flooring,Bedroom,Flooring Installation,Installation of herringbone hardwood flooring.,364 SF,$6,0.75,,3822,90
,,,,,,,,3822.00,
General Requirements,,,,,,,,,
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
General Requirements,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,8181.25,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen style.,1 UNIT,"$2,400 per LF",0.75,,4200,90
,,,,,,,,4200.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom,Painting,Painting of walls and ceiling.,555.9 SF,$10.3,0.70,,9785.67,85
,,,,,,,,9785.67,
Plumbing,,,,,,,,,
Plumbing,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$4,950 per UNIT",0.75,,8662.5,85
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for kitchen with existing location of 1 sink.,1 UNIT,"$3,850",0.75,,6737.5,90
Plumbing,Master Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,1 UNIT,"$8,800 per UNIT",0.75,,15400,90
,,,,,,,,30800.00,
Tile,,,,,,,,,
Tile,Master Bathroom,Bathroom Tile Work,Installation of floor and wall tiles for 80-100 sf bathroom.,1 UNIT,"$6,800",0.80,,12240,90
,,,,,,,,12240.00,
Waterproofing,,,,,,,,,
Waterproofing,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing for floors and walls for 80-100 sf bathroom.,1 UNIT,"$2,250",0.65,,3712.5,85
,,,,,,,,3712.50,
,,,,,,,,146560.17,
,,,General Conditions (10%),,,,,14656.02,
,,,Grand Total,,,,,161216.19,
