Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",476 SF,"$3,300 per UNIT",0.75,,5775,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing replacement for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, and GFCI outlets.",476 SF,$17 per SF,0.75,,14163,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of floor and wall tiles.,476 SF,"$2,600 per 60 SF",0.80,,20800,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",476 SF,$4 per SF,0.75,,3330,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower/tub, supply lines, and drain lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, and switches.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, grout, and seal tiles.",476 SF,"$2,700 per SF",0.80,,23040,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",476 SF,"$3,300 per unit",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing bathroom location.,1 Unit,"$9,900 per unit",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,476 SF,"$4,100 per unit",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of bathroom electrical systems including outlets and lighting.,476 SF,$17 per SF,0.75,,2508.75,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",476 SF,"$3,300 per unit",0.75,,5775.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per unit",0.75,,17325.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,476 SF,$17 per SF,0.75,,14145.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of new wall and floor tiles.,476 SF,"$4,100 per unit",0.80,,7380.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, and flooring.",476 SF,"$3,300 per UNIT",0.75,,5775,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$9,900 per UNIT",0.75,,17325,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of bathroom electrical including vanity lighting, exhaust fan, and GFCI outlets.",476 SF,$17 per SF,0.75,,14157,85
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,476 SF,"$4,100 per UNIT",0.80,,7380,90
,,,,,,,,228690.00,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",28 SF,"$2,200 per UNIT",0.75,,3850,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing replacement for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, and GFCI outlets.",28 SF,$17 per SF,0.75,,833,85
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of floor and wall tiles.,28 SF,"$2,600 per 60 SF",0.80,,12240,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",28 SF,$4 per SF,0.75,,196,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower/tub, supply lines, and drain lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, and switches.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,"Install floor and wall tiles, grout, and seal tiles.",28 SF,"$2,700 per SF",0.80,,13536,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",28.2 SF,"$3,300 per unit",0.75,,5775,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for existing bathroom location.,1 Unit,"$7,700 per unit",0.75,,13475,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,28.2 SF,"$2,600 per unit",0.80,,4680,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,Installation of bathroom electrical systems including outlets and lighting.,28.2 SF,$17 per SF,0.75,,2508.75,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",28 SF,"$2,200 per unit",0.75,,3850.00,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per unit",0.75,,13475.00,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,Installation of new electrical fixtures including GFCI outlets and lighting.,28 SF,$17 per SF,0.75,,833.00,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of new wall and floor tiles.,28 SF,"$2,600 per unit",0.80,,4680.00,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, and flooring.",28 SF,"$2,200 per UNIT",0.75,,3850,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Installation of bathroom electrical including vanity lighting, exhaust fan, and GFCI outlets.",28 SF,$17 per SF,0.75,,831,85
Bathroom 2 Renovation,Bathroom 2,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,28 SF,"$2,600 per UNIT",0.80,,4680,90
,,,,,,,,138249.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire Apartment,Commercial Cleaning,Post-construction cleaning for entire apartment.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,90
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,"1,461.3 SF","$1,925 per unit",0.75,,3368.75,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$2,750 per unit",0.75,,4812.50,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1461 SF,"$2,750 per UNIT",0.75,,4812.5,85
,,,,,,,,22618.75,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",84.5 SF,"$3,300 per UNIT",0.75,,5775,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rewiring of kitchen including GFCI outlets, lighting circuits, and appliance connections.",84.5 SF,$17 per SF,0.75,,2508.375,85
Kitchen Renovation,Kitchen,Kitchen Cabinets,Installation of standard kitchen cabinets up to 8ft.,8 LF,$600 per LF,0.75,,8400,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,20 SF,$97 per SF,0.75,,13763.75,90
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of tile backsplash.,10 LF,"$1,650 per 10 LF",0.80,,2970,85
Kitchen Renovation,Kitchen,Kitchen Flooring,Installation of new tile flooring.,84.5 SF,$6 per SF,0.75,,888.375,85
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, flooring, and backsplash. Disconnect electrical and plumbing.",84.5 SF,$7 per SF,0.75,,1036.375,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Install rough plumbing, kitchen sink, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$3,850 per UNIT",0.75,,6737.5,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Install rough electrical, lighting circuits, under-cabinet lighting, GFCI outlets, switches, and panel upgrades.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Cabinets,"Install new base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",10 LF,"$7,600 per 10 LF",0.75,,13300,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabricate and install quartz countertops with edge treatments and sink cutouts.,25 SF,$97 per SF,0.75,,13763.75,90
