Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen style.,30 SF,"$2,200",0.80,,3960,90
,,,,,,,,3960.00,
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,"$10,000",0.75,,17500,80
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,1 UNIT,"$20,000",0.75,,35000,80
,,,,,,,,52500.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,20 LF,"$10,900 per unit",0.75,,19075,95
,,,,,,,,19075.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of fixtures, tile, and flooring.",35 SF,"$2,750 per unit",0.75,,4812.5,95
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",245 SF,"$3,300 per unit",0.75,,5775,95
,,,,,,,,10587.50,
Electrical,,,,,,,,,
Electrical,Basement,Basement Finishing,"Finishing of basement space including flooring, walls, and electrical.",427 SF,$11 per SF,0.75,,8201.25,85
Electrical,Master Bathroom,Bathroom Electrical,Installation of bathroom electrical systems including lighting and outlets.,1 unit,"$3,500 per unit",0.75,,6125,90
Electrical,Kitchen,Kitchen Electrical,"Installation of kitchen electrical systems including outlets, lighting, and appliances.",1 unit,"$3,500 per unit",0.75,,6125,90
Electrical,Bedroom,Electrical Installation,Installation of bedroom electrical systems including outlets and lighting.,1 unit,"$3,500 per unit",0.75,,6125,85
,,,,,,,,26576.25,
Flooring,,,,,,,,,
Flooring,Bedroom,Flooring Installation,Installation of new herringbone flooring in the bedroom.,197 SF,$6 per SF,0.75,,2067,85
,,,,,,,,2067.00,
General Requirements,,,,,,,,,
General Requirements,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700,95
General Requirements,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,11068.75,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen style.,1 UNIT,"$2,400 per LF",0.75,,4200,90
,,,,,,,,4200.00,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom,Painting,Painting of bedroom walls and ceiling.,197 SF,$10.3 per SF,0.70,,3454.05,85
,,,,,,,,3454.05,
Plumbing,,,,,,,,,
Plumbing,Master Bathroom,Bathroom Plumbing,"Full gut plumbing for master bathroom including installation of double vanity, standing tub, and shower.",1 unit,"$9,900 per unit",0.75,,17325,95
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for kitchen including sink and garbage disposal installation.,1 unit,"$3,850 per unit",0.75,,6737.5,90
,,,,,,,,24062.50,
Tile,,,,,,,,,
Tile,Master Bathroom,Bathroom Tile Work,Installation of new bathroom floor and wall tiles.,60 SF,"$4,100 per unit",0.80,,7380,90
,,,,,,,,7380.00,
Waterproofing,,,,,,,,,
Waterproofing,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,35 SF,"$2,100 per unit",0.65,,3465,90
,,,,,,,,3465.00,
,,,,,,,,182159.80,
,,,General Conditions (10%),,,,,18215.98,
,,,Grand Total,,,,,200375.78,
