Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,Full gut of kitchen - cabinets countertops appliances.,1 UNIT,$5775 per UNIT,0.75,,5775,95
Demolition,Primary Bathroom,Bathroom Demolition,Full gut primary bathroom (89 SF).,1 UNIT,$5775 per UNIT,0.75,,5775,95
Demolition,Shared Bathroom,Bathroom Demolition,Full gut shared bathroom (58 SF).,1 UNIT,$4813 per UNIT,0.75,,4813,95
Demolition,In-Suite Bathroom,Bathroom Demolition,Full gut in-suite bathroom (65 SF).,1 UNIT,$4813 per UNIT,0.75,,4813,95
Demolition,12th Floor,General Demolition,Demolition for stair remodel and flooring prep - updated per Chapter Proposal.,2279 SF,$12.25 per SF,0.75,,27918,90
,,,,,,,,49094.00,
Protection & Site Prep,,,,,,,,,
Protection & Site Prep,Project,Temp Floor Protection,Temporary floor protection during construction.,1 LS,$2500 per LS,0.75,,4375,90
Protection & Site Prep,Project,Protection for Finished Materials,Protection for previously installed finished materials.,1 LS,$2500 per LS,0.75,,4375,90
Protection & Site Prep,Project,Hallway Protection,Cover and protect hallway during construction.,1 LS,$3000 per LS,0.75,,5250,90
Protection & Site Prep,Project,Temporary Stairs and Railings,Temporary stairs and railings during construction.,1 LS,$5000 per LS,0.75,,8750,90
Protection & Site Prep,Project,Site Safety Information,Post site safety information first aid kits fire extinguishers.,1 LS,$600 per LS,0.75,,1050,90
,,,,,,,,23800.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,11th Floor,New Partitions,Framing and drywall for new walls (laundry relocation closets coffee station).,80 LF,$45 per LF,0.75,,3150,85
Walls & Ceiling,Bathrooms,Moisture Resistant Drywall,Green board in all 3 bathrooms.,3 UNIT,$3850 per UNIT,0.75,,11550,90
Walls & Ceiling,Kitchen,Kitchen Drywall,Moisture resistant drywall in kitchen.,1 UNIT,$1925 per UNIT,0.75,,3369,90
Walls & Ceiling,Project,Dropped Ceiling,New dropped painted gypsum board ceiling with cove lighting per Chapter Proposal.,3663 SF,$9 per SF,0.75,,48078,85
,,,,,,,,66147.00,
Plumbing,,,,,,,,,
Plumbing,Primary Bathroom,Full Bath Plumbing,Rough plumbing - tub toilet shower double vanity (89 SF).,1 UNIT,$9900 per UNIT,0.75,,17325,95
Plumbing,Shared Bathroom,Bathroom Plumbing,Rough plumbing for shared bathroom.,1 UNIT,$8800 per UNIT,0.75,,15400,95
Plumbing,In-Suite Bathroom,Bathroom Plumbing,Rough plumbing for in-suite bathroom.,1 UNIT,$8800 per UNIT,0.75,,15400,95
Plumbing,Kitchen,Kitchen Plumbing,Full gut kitchen - 2 sink (island + main).,1 UNIT,$4950 per UNIT,0.75,,8663,95
Plumbing,Laundry,Washer Dryer Relocation,Relocate laundry to new location.,1 UNIT,$3350 per UNIT,0.75,,5863,95
Plumbing,Fixtures,Plumbing Fixtures Installation,Installation of fixtures (toilets lavatories faucets showerheads tubs) - owner provided.,12 EA,$550 per EA,0.75,,11550,90
,,,,,,,,74201.00,
Waterproofing,,,,,,,,,
Waterproofing,Primary Bathroom,Waterproofing,Membrane floors and walls (89 SF).,1 UNIT,$2250 per UNIT,0.75,,3938,95
Waterproofing,Shared Bathroom,Waterproofing,Membrane floors and walls (58 SF).,1 UNIT,$2100 per UNIT,0.75,,3675,95
Waterproofing,In-Suite Bathroom,Waterproofing,Membrane floors and walls (65 SF).,1 UNIT,$2100 per UNIT,0.75,,3675,95
Waterproofing,Kitchen,Kitchen Waterproofing,WATR-04 waterproofing under kitchen floor.,1 UNIT,$2188 per UNIT,0.75,,2188,95
,,,,,,,,13476.00,
Tile,,,,,,,,,
Tile,Primary Bathroom,Tile Installation,Floor and wall tile - updated per Chapter Proposal 423 SF total.,1 UNIT,$6800 per UNIT,0.80,,12240,95
Tile,Shared Bathroom,Tile Installation,Floor and wall tile - updated quantities.,1 UNIT,$5700 per UNIT,0.80,,10260,95
Tile,In-Suite Bathroom,Tile Installation,Floor and wall tile - updated quantities.,1 UNIT,$5700 per UNIT,0.80,,10260,95
Tile,Kitchen,Kitchen Tile,Kitchen flooring tile - 257 SF per Chapter Proposal.,257 SF,$18 per SF,0.80,,4626,90
Tile,Kitchen,Stone Backsplash,TILE-11 backsplash 36 SF.,36 SF,$44 per SF,0.80,,1584,90
Tile,Powder Room,Wall Covering Alternate,Wall covering 12th floor powder room - allowance.,1 UNIT,$1500 per UNIT,0.75,,2625,80
,,,,,,,,41595.00,
Bathroom Fixtures,,,,,,,,,
Bathroom Fixtures,Primary Bathroom,Vanity Double Sink,Double vanity with stone top.,2 EA,$1663 per EA,0.75,,3326,95
Bathroom Fixtures,Primary Bathroom,Free-Standing Tub,Supply and install.,1 UNIT,$950 per UNIT,0.75,,1663,95
Bathroom Fixtures,Primary Bathroom,Toilet,New toilet.,1 UNIT,$650 per UNIT,0.75,,1138,95
Bathroom Fixtures,Primary Bathroom,Shower,Shower with steam - glass enclosure.,1 UNIT,$1800 + $3500 enclosure,0.75,,9281,95
Bathroom Fixtures,Shared Bathroom,Vanity,Single vanity.,1 UNIT,$1663 per UNIT,0.75,,2910,95
Bathroom Fixtures,Shared Bathroom,Toilet,New toilet.,1 UNIT,$1138 per UNIT,0.75,,1138,95
Bathroom Fixtures,Shared Bathroom,Shower,Tub to shower or new shower.,1 UNIT,$1800 per UNIT,0.75,,3150,95
Bathroom Fixtures,In-Suite Bathroom,Vanity,Vanity with fixtures.,1 UNIT,$1663 per UNIT,0.75,,2910,95
Bathroom Fixtures,In-Suite Bathroom,Toilet,New toilet.,1 UNIT,$1138 per UNIT,0.75,,1138,95
Bathroom Fixtures,In-Suite Bathroom,Shower,Shower installation.,1 UNIT,$1800 per UNIT,0.75,,3150,95
Bathroom Fixtures,Bathrooms,Bathroom Accessories,MISC-09 install - 4 baths.,4 UNIT,$963 per UNIT,0.75,,3850,90
,,,,,,,,33474.00,
Electrical,,,,,,,,,
Electrical,Project,Rewiring Full Apt,ELEC-16 per SF.,2279 SF,$29.75 per SF,0.75,,67743,95
