Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom,Bathroom Demolition,"Full gut of existing bathroom including removal of fixtures, tile, and flooring.",44 SF,"$3,300 per unit",0.75,,5775,95
Bathroom Renovation,Bathroom,Bathroom Plumbing,Full gut replacement of plumbing fixtures in existing location.,44 SF,"$7,700 per unit",0.75,,13475,95
Bathroom Renovation,Bathroom,Bathroom Tile Work,Installation of new floor and wall tiles.,44 SF,"$2,000 per floor, $2,600 per wall",0.80,,7920,95
Bathroom Renovation,Bathroom,Bathroom Electrical,Installation of new GFCI outlets and lighting fixtures.,2 UNIT,"$55 per outlet, $165 per fixture",0.75,,385,90
Bathroom Renovation,Bathroom,Bathroom Waterproofing,Installation of waterproofing membrane on floors and walls.,44 SF,"$1,900 per unit",0.65,,3325,90
,,,,,,,,30880.00,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Bedroom Flooring,Installation of new carpet flooring.,190 SF,$6 per SF,0.75,,1995,95
Bedroom Renovation,Bedroom,Bedroom Painting,Painting of walls and ceiling.,190 SF,$10.3 per SF,0.70,,3421,90
Bedroom Renovation,Bedroom,Bedroom Electrical,Installation of new outlets and light fixtures.,3 UNIT,"$55 per outlet, $165 per fixture",0.75,,577.5,90
Bedroom Renovation,Bedroom,Bedroom Trim,Installation of new baseboards and crown molding.,63 LF,$5 per LF,0.70,,535.5,90
,,,,,,,,6529.00,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750",0.75,,4812.5,85
,,,,,,,,4812.50,
Living Room Renovation,,,,,,,,,
Living Room Renovation,Living Room,Living Room Flooring,Installation of new hardwood flooring.,400 SF,$6 per SF,0.75,,4200,95
Living Room Renovation,Living Room,Living Room Painting,Painting of walls and ceiling.,400 SF,$10.3 per SF,0.70,,7210,90
Living Room Renovation,Living Room,Living Room Electrical,Installation of new outlets and light fixtures.,4 UNIT,"$55 per outlet, $165 per fixture",0.75,,770,90
Living Room Renovation,Living Room,Living Room Trim,Installation of new baseboards and crown molding.,94 LF,$5 per LF,0.70,,799,90
,,,,,,,,12979.00,
,,,,,,,,55200.50,
,,,General Conditions (10%),,,,,5520.05,
,,,Grand Total,,,,,60720.55,
