Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,General,Pre-construction site preparation,"Pre-construction site preparation

-Protect and seal entry doors, grilles, and other openings at the house.

-Set up zipper walls and containments to prevent dust from spreading to other areas as requ",1 UNIT,"$2,000 per UNIT",0.75,,3500.00,95
Demolition,General,Demolition of existing structures,"Existing House

-Demolition and removal of existing siding, trim, and sheathing at the existing wall where the new extension will connect.

-Demolition and removal of structural wall framing to create",430 SF,$7 per SF,0.75,,5267.50,95
Demolition,General,Demolition of existing structures,"1st Floor - Existing Powder Room

-Demolition of powder room tiles, vanity, medicine cabinet, toilet, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and dis",1 UNIT,"$1,375 per UNIT",0.75,,2406.25,95
Demolition,General,Demolition of existing structures,"1st Floor - Existing Laundry Room

-Demolition of tiles, shelves, cabinets, appliances, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal included",1 UNIT,$7 per SF,0.75,,12.25,95
Demolition,General,Demolition of existing structures,"2nd Floor - Primary Bathroom

-Demolition of bathroom tiles, vanity, medicine cabinet, toilet, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal i",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,95
Demolition,General,Demolition of existing structures,"2nd Floor - Second Bathroom

-Demolition and removal of the tub.

*Debris removal and disposal included
",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,95
Demolition,General,Demolition of existing structures,"2nd Floor - Existing Walk-In Closet

-Demolition of shelves, cabinets, and other millworks.

-Demolition of wall substrates back to framing.

*Debris removal and disposal included
",1 UNIT,$7 per SF,0.75,,12.25,95
Demolition,General,"Excavation, grading, and backfilling","New Extension Area (Approx. 430 SF)

-Strip and remove surface vegetation and topsoil within the new addition footprint.

-Excavate to required subgrade elevation for slab-on-grade foundation, includi",430 SF,"$2,000 per UNIT",0.75,,1505000.00,95
,,,,,,,,1523898.25,
Electrical,,,,,,,,,
Electrical,General,Electrical,"New Extension Area

-Supply and install (10) new outlets throughout the new extension area as per code requirements at new locations.

-Install (6) new light fixtures throughout the new extension area",430 SF,"$3,500 per UNIT",0.75,,2633750.00,95
Electrical,General,Electrical,"1st Floor - New Bathroom

-Supply and install (1) new GFI outlet in the bathroom as per code requirements at new location.

-Install (2) new light fixtures at new locations.

-Supply and install (1) n",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,95
Electrical,General,Electrical,"2nd Floor - Primary Bathroom

-Supply and install (2) new GFI outlet in the bathroom as per code requirements at existing location.

-Install (2) new light fixtures at existing locations.

-Supply and",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,95
Electrical,General,Electrical,"2nd Floor - New Laundry Room

-Supply and Install new dedicated lines for the washer dryer in the new laundry room at new locations.

-Supply and Install (1) new GFI outlet in the new laundry room as ",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,95
,,,,,,,,2652125.00,
Drywall & Insulation,,,,,,,,,
Drywall & Insulation,General,New Interior Partition Walls Installation,"1st & 2nd Floor New Extension Area

-Frame all interior partition walls with 2ֳ—4 studs at 16"" OC, including top and bottom plates, blocking, and framing.

-Supply and install all required structural ",430 SF,$8 per SF,0.75,,6020.00,95
Drywall & Insulation,General,New Ceiling Installation,"1st & 2nd Floor New Extension Area

-Supply and install ceiling framing using 2x8 or 2x10 joists at 16"" on center as per code requirements.

-Supply and install ceiling insulation to meet code require",430 SF,$8 per SF,0.75,,6020.00,95
Drywall & Insulation,General,Mold Resistant Drywall Installation,"1st Floor - New Bathroom

-Supply and Install water-resistant sheetrock on bathroom walls.

*Tape, plaster, sand and prepare walls to the above spaces to receive new finishes
",1 UNIT,$8 per SF,0.75,,14.00,95
Drywall & Insulation,General,Mold Resistant Drywall Installation,"2nd Floor - Primary Bathroom

-Supply and Install water-resistant sheetrock on bathroom walls.

*Tape, plaster, sand and prepare walls to the above spaces to receive new finishes
",1 UNIT,$8 per SF,0.75,,14.00,95
