Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,90
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475.00,90
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Floor and wall tile installation, grouting, and sealing.",60 SF,"$2,600 per UNIT",0.80,,4680.00,90
Bathroom Renovation,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,90
Bathroom Renovation,Bathroom 2,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475.00,90
Bathroom Renovation,Bathroom 2,Bathroom Tile Work,"Floor and wall tile installation, grouting, and sealing.",60 SF,"$2,600 per UNIT",0.80,,4680.00,90
Bathroom Renovation,Bathroom 1,Tub to Shower Conversion,Convert existing tub to a shower.,1 UNIT,"$1,375 per UNIT",0.75,,2406.25,90
Bathroom Renovation,Bathroom 1,Tile Installation,Install new tile on bathroom floors and walls.,80 SF,"$4,100 for walls + $2,700 for floors",0.80,,12000,90
Bathroom Renovation,Bathroom 1,Plumbing Work,"Install new plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325,85
Bathroom Renovation,Bathroom 1,Electrical Work,Install new bathroom lighting and GFCI outlets.,1 UNIT,"$3,500 minimum",0.75,,6125,85
Bathroom Renovation,Bathroom 1,Full Gut Demolition,"Complete removal of existing fixtures, tile, and finishes in the bathroom.",42 SF,"$2,200 per unit",0.75,,3850,95
Bathroom Renovation,Bathroom 1,Plumbing Rough-In,"Rough plumbing for new bathroom layout including toilet, vanity, and shower.",1 UNIT,"$8,800 per unit",0.75,,15400,95
Bathroom Renovation,Bathroom 1,Tile Installation,Installation of floor and wall tiles in the bathroom.,42 SF,"$2,600 per unit",0.80,,4680,95
Bathroom Renovation,Bathroom 1,Electrical Work,"Installation of GFCI outlets, lighting fixtures, and exhaust fan.",1 UNIT,"$3,500 minimum",0.75,,6125,90
Bathroom Renovation,Bathroom 1,Waterproofing,Installation of waterproofing membrane on floors and walls.,42 SF,"$1,900 per unit",0.65,,3135,95
,,,,,,,,115056.25,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Bedroom Flooring,"Subfloor preparation, flooring installation, and transition strips.",200 SF,$6 per SF,0.75,,2100.00,90
Bedroom Renovation,Bedroom,Bedroom Painting,"Wall preparation, primer application, paint walls, and ceiling.",200 SF,$10.3 per SF,0.75,,3607.50,90
Bedroom Renovation,Bedroom,Bedroom Electrical,"Outlet installation, switch installation, light fixtures, and ceiling fans.",1 UNIT,"$3,500 per UNIT",0.75,,6125.00,90
Bedroom Renovation,Bedroom 1,Flooring Installation,Install new hardwood flooring in the bedroom.,150 SF,$6 per SF,0.75,,1575,85
Bedroom Renovation,Bedroom 1,Painting,Paint walls and ceiling in the bedroom.,150 SF,$10.3 per SF,0.75,,2701.25,85
Bedroom Renovation,Bedroom 1,Electrical Work,"Install new outlets, switches, and light fixtures in the bedroom.",1 UNIT,"$3,500 minimum",0.75,,6125,85
,,,,,,,,22233.75,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Commercial Cleaning,Post-construction cleaning of all renovated areas.,1 UNIT,"$4,400 per UNIT",0.75,,7700.00,85
