Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Setup,Prepare basement area for theater room setup.,1 UNIT,"$5,000 per UNIT",0.75,,8750,85
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$4,950 per UNIT",0.75,,8662.5,85
Basement Renovation,Basement,Mini Wine Cellar Setup,Install mini wine cellar with appropriate shelving and climate control.,1 UNIT,"$3,500 per UNIT",0.75,,6125,85
,,,,,,,,23537.50,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,Installation of herringbone hardwood flooring.,364 SF,$6,0.75,,3822,90
Bedroom Renovation,Bedroom,Painting,Painting of walls and ceiling.,555.9 SF,$10.3,0.70,,9785.67,85
Bedroom Renovation,Bedroom,Electrical Work,"Installation of outlets, switches, and light fixtures.",1 UNIT,"$3,500",0.75,,6125,85
,,,,,,,,19732.67,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$1,925",0.75,,3368.75,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,19250.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",50 SF,$4 per SF,0.75,,350,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match kitchen aesthetic.,30 SF,"$2,200 per 10 SF",0.80,,5280,90
