Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Assumptions (Non-Cost),,,,,,,,,
Assumptions (Non-Cost),,Assumption,Whole-house flooring SF for areas beyond kitchen/living inferred from Polycam and proportionally allocated; not every room SF is explicitly called out in transcript.,,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,"HVAC ductwork/insulation rework priced as a lump-sum scope assuming existing system has capacity, per transcript; final scope may change after HVAC contractor review.",,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,New main electrical panel and 5-bedroom lighting/junction boxes priced as allowances based on typical loads and insurance requirements; subject to electrician's final design.,,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,"Garage-to-guest-suite conversion includes full framing/insulation/drywall/finishes but excludes custom millwork, high-end built-ins, and furniture.",,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,Front porch/entry deck sized and priced from Polycam/exterior photos; exact layout and materials (wood vs stone) to be finalized in design phase.,,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,Powder room reconfiguration assumes standard plumbing reroutes within existing wet wall; major structural changes or surprises behind walls are not included.,,,0.0,,0.0,
Assumptions (Non-Cost),,Assumption,Countertop pricing assumes natural stone/quartzite level in line with master pricing; premium slabs or complex edge profiles may increase costs.,,,0.0,,0.0,
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal.",70 SF,$5 per SF,0.75,nan,612.5,95.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower/tub, supply lines, drain lines, and vent lines.",1 UNIT,$2500 per UNIT,0.75,nan,4375.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, and switches.",1 UNIT,$1500 per UNIT,0.75,nan,2625.0,90.0
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout, and sealing.",100 SF,$20 per SF,0.8,nan,3600.0,90.0
