Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom,Bathroom Demolition,"Full gut of existing bathroom including removal of fixtures, tile, vanity, and flooring.",44 SF,"$3,300 per unit",0.75,,5775.00,95
Bathroom Renovation,Bathroom,Bathroom Plumbing,Full gut replacement of plumbing fixtures in existing location.,44 SF,"$7,700 per unit",0.75,,13475.00,95
Bathroom Renovation,Bathroom,Bathroom Tile Work,Installation of floor and wall tiles in the bathroom.,44 SF,"$2,600 per unit",0.80,,4680.00,95
Bathroom Renovation,Bathroom,Bathroom Waterproofing,Install waterproofing on floors and walls.,44 SF,"$1,900 per unit",0.65,,3135.00,95
,,,,,,,,27065.00,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Bedroom Flooring,Installation of new hardwood flooring.,190 SF,$6 per SF,0.75,,1995.00,95
Bedroom Renovation,Bedroom,Bedroom Painting,Painting of walls and ceiling.,190 SF,$10.3 per SF,0.70,,3427.00,95
Bedroom Renovation,Bedroom,Bedroom Electrical,"Installation of new outlets, switches, and light fixtures.",5 UNITS,$55 per unit,0.75,,481.25,95
,,,,,,,,5903.25,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$2,750 per unit",0.75,,4812.50,95
,,,,,,,,4812.50,
Living Room Renovation,,,,,,,,,
Living Room Renovation,Living Room,Living Room Flooring,Installation of new hardwood flooring.,400 SF,$6 per SF,0.75,,4200.00,95
Living Room Renovation,Living Room,Living Room Painting,Painting of walls and ceiling.,400 SF,$10.3 per SF,0.70,,7210.00,95
Living Room Renovation,Living Room,Living Room Electrical,"Installation of new outlets, switches, and light fixtures.",10 UNITS,$55 per unit,0.75,,962.50,95
,,,,,,,,12372.50,
,,,,,,,,50153.25,
,,,General Conditions (10%),,,,,5015.33,
,,,Grand Total,,,,,55168.57,
