Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing for existing bathroom location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Rewiring and installation of bathroom electrical systems including outlets, switches, and lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Install new tile on bathroom walls and floors.,80 SF,"$4,100 per 80 SF",0.80,,7380,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Full gut plumbing for existing location, including toilet installation, sink installation, shower/tub installation, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, installation, wall tile installation, shower tile, grout installation, and tile sealing.",60 SF,"$2,600 per 60 SF",0.80,,4680.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",60 SF,"$2,200 per UNIT",0.75,,3850.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing replacement for existing location.,60 SF,"$7,700 per UNIT",0.75,,13475.00,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of wall and floor tiles.,60 SF,"$2,600 per UNIT",0.80,,4680.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, vanity, flooring, and debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Full gut plumbing for existing location including toilet installation, sink installation, shower/tub installation, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, floor tile installation, wall tile installation, shower tile, grout installation, tile sealing.",60 SF,"$2,600 per 60 SF",0.80,,4680,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Flooring,"Subfloor preparation, flooring installation, transition strips, waterproof underlayment.",60 SF,$6 per SF,0.75,,630,90
,,,,,,,,103600.00,
Bathroom 2 Renovation,,,,,,,,,
