Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room with electrical setup.,1 UNIT,"$15,000",0.75,,26250,85
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$7,150",0.75,,12512.5,85
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,"$5,000",0.75,,8750,85
,,,,,,,,47512.50,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,"Installation of new flooring including subfloor preparation, flooring installation, transition strips, and closet flooring.",364 SF,$6 per SF,0.75,,3822,90
Bedroom Renovation,Bedroom,Painting,"Painting of walls and ceiling including wall preparation, primer application, and touch-up work.",555.9 SF,$10.3 per SF,0.70,,10057.5,90
Bedroom Renovation,Bedroom,Electrical Work,"Installation of outlets, switches, light fixtures, ceiling fans, closet lighting, bedside outlets, and USB outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
,,,,,,,,20004.50,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$1,925 for 1,200-1,800 sf",0.75,,3368.75,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,"Comprehensive cleaning of all renovated areas including dust removal, floor cleaning, and window washing.",1 UNIT,"$4,400 per UNIT",0.75,,7700,85
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,22137.50,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",100 SF,$4 per SF,0.75,,700,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen design.,30 SF,"$2,200",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install new kitchen island with plumbing and electrical connections.,1 UNIT,"$7,600",0.75,,13300,85
Kitchen Renovation,Kitchen,Electrical Work,"Install new GFCI outlets, pendant lighting, and under-cabinet lighting.",10 UNITS,$55 per UNIT,0.75,,962.5,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen style.,1 UNIT,"$2,400 per LF",0.75,,4200,90
Kitchen Renovation,Kitchen,Countertop Replacement,Replace existing countertops with new quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match new countertops.,10 LF,"$2,200 per 10 LF",0.80,,3960,90
Kitchen Renovation,Kitchen,Electrical Reallocation,Reallocate outlets and control panel for AC due to wall removal.,1 UNIT,"$3,500 minimum",0.75,,6125,85
Kitchen Renovation,Kitchen,Wall Removal,Remove portion of wall to open space and improve light flow.,1 UNIT,"$3,300 per 10 ft",0.75,,5775,85
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,"Installation of new kitchen cabinets including base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",15 LF,"$9,200 per UNIT",0.75,,16100,90
Kitchen Renovation,Kitchen,Kitchen Countertops,"Fabrication and installation of kitchen countertops including template creation, edge treatments, and sink cutouts.",45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Kitchen Backsplash,"Installation of kitchen backsplash including tile preparation, installation, grout, and sealing.",20 SF,"$2,200 per 10 ft",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Full gut plumbing including rough plumbing, kitchen sink installation, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$4,950 per UNIT",0.75,,8662.5,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rough electrical including kitchen lighting circuits, under-cabinet lighting, GFCI outlets, switch installation, panel upgrades, range hood electrical, kitchen island electrical, pendant light installation, and dimmer switches.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, and flooring.",1 UNIT,"$3,300 per UNIT",0.75,,5775,90
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,"Installation of new kitchen cabinets, estimated 9 linear feet based on transcript.",9 LF,$800 per LF,0.75,,12600,85
Kitchen Renovation,Kitchen,Kitchen Countertops,"Installation of new countertops, estimated 22.5 SF based on 9 LF with average depth of 2.5 ft.",22.5 SF,$97 per SF,Special Formula,,13763.75,85
