Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Construction,Transform unfinished basement into a theater room.,1 UNIT,"$20,000",0.75,,35000,80
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$7,150",0.75,,12512.5,80
Basement Renovation,Basement,Mini Wine Cellar Construction,Construct mini wine cellar with climate control.,1 UNIT,"$10,000",0.75,,17500,80
Basement Renovation,Basement,Basement Finishing,"Finishing of basement space including flooring, walls, and electrical.",427 SF,$11 per SF,0.75,,8201.25,85
,,,,,,,,73213.75,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,Installation of new herringbone flooring in the bedroom.,197 SF,$6 per SF,0.75,,2067,85
Bedroom Renovation,Bedroom,Painting,Painting of bedroom walls and ceiling.,197 SF,$10.3 per SF,0.70,,3454.05,85
Bedroom Renovation,Bedroom,Electrical Installation,Installation of bedroom electrical systems including outlets and lighting.,1 unit,"$3,500 per unit",0.75,,6125,85
,,,,,,,,11646.05,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 UNIT,"$1,925 for 1,200-1,800 sf",0.75,,3368.75,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas post-construction.,1 unit,"$2,750 per unit",0.75,,4812.5,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per UNIT",0.75,,3368.75,85
,,,,,,,,19250.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",244.6 SF,$4 per SF,0.75,,1710.75,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,45 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen style.,30 SF,"$2,200",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install new kitchen island with plumbing and electrical connections.,1 UNIT,"$7,600",0.75,,13300,85
Kitchen Renovation,Kitchen,Electrical Work,"Install new lighting circuits, GFCI outlets, and under-cabinet lighting.",10 UNITS,$55 per UNIT,0.75,,962.5,85
Kitchen Renovation,Kitchen,Plumbing Work,"Install new sink, garbage disposal, and water supply lines.",1 UNIT,"$3,850",0.75,,6737.5,85
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new waterfall kitchen island to match existing kitchen style.,1 UNIT,"$2,400 per LF",0.75,,4200,90
Kitchen Renovation,Kitchen,Countertop Replacement,"Replace existing countertops with new quartz countertops, including waterfall edge for island.",45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match new countertops.,10 LF,"$2,200 per 10 LF",0.80,,3960,90
Kitchen Renovation,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel for AC due to wall removal.,1 UNIT,"$3,500 minimum",0.75,,6125,85
Kitchen Renovation,Kitchen,Wall Removal,"Remove portion of wall to open space, including necessary structural support.",1 UNIT,"$3,300 per 10 ft",0.75,,5775,85
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",245 SF,"$3,300 per unit",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,Installation of new kitchen cabinets including base and wall cabinets.,20 LF,"$10,900 per unit",0.75,,19075,95
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of new kitchen countertops.,50 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of new kitchen backsplash tiles.,20 SF,"$2,200 per unit",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for kitchen including sink and garbage disposal installation.,1 unit,"$3,850 per unit",0.75,,6737.5,90
Kitchen Renovation,Kitchen,Kitchen Electrical,"Installation of kitchen electrical systems including outlets, lighting, and appliances.",1 unit,"$3,500 per unit",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including cabinet removal, countertop removal, appliance disconnection, flooring removal, backsplash removal, electrical and plumbing disconnection, debris removal, and protection of adjacent areas.",244.6 SF,"$3,300 per UNIT",0.75,,5775,90
Kitchen Renovation,Kitchen,Kitchen Cabinets Installation,"Installation of new kitchen cabinets including base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",19.2 LF,"$9,200 per UNIT",0.75,,16100,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of kitchen countertops including edge treatments and sink cutouts.,48 SF,"($1,500 installation + $97/SF × SF + $2,000 material) × 1.75",0.75,,13763.75,95
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Installation of rough plumbing, kitchen sink, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$3,850 per UNIT",0.75,,6737.5,85
Kitchen Renovation,Kitchen,Kitchen Electrical,"Installation of rough electrical, kitchen lighting circuits, under-cabinet lighting, GFCI outlets, switch installation, panel upgrades, range hood electrical, kitchen island electrical, pendant light installation, and dimmer switches.",1 UNIT,"$3,500 per UNIT",0.75,,6125,85
Kitchen Renovation,Kitchen,Kitchen Flooring,"Installation of new kitchen flooring including subfloor preparation, flooring installation, transition strips, floor trim, and underlayment.",244.6 SF,$6 per SF,0.75,,2569.95,85
Kitchen Renovation,Kitchen,Kitchen Backsplash,"Installation of kitchen backsplash including tile preparation, tile installation, grout installation, tile sealing, and trim tiles.",10 LF,"$2,200 per UNIT",0.80,,3960,85
,,,,,,,,184725.70,
Master Bathroom Renovation,,,,,,,,,
Master Bathroom Renovation,Bathroom,Bathroom Demolition,Full gut of existing bathroom fixtures and finishes.,42.7 SF,"$3,300",0.75,,5775,90
Master Bathroom Renovation,Bathroom,Double Vanity Installation,Install new double vanity with plumbing connections.,1 UNIT,"$8,800",0.75,,15400,85
Master Bathroom Renovation,Bathroom,Shower Installation,Install spacious shower with waterproofing and tile work.,1 UNIT,"$9,900",0.75,,17325,85
Master Bathroom Renovation,Bathroom,Bathroom Flooring,Install new tile flooring with waterproof underlayment.,42.7 SF,"$2,700",0.80,,4860,85
Master Bathroom Renovation,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of fixtures, tile, and flooring.",35 SF,"$2,750 per unit",0.75,,4812.5,95
Master Bathroom Renovation,Master Bathroom,Bathroom Plumbing,"Full gut plumbing for master bathroom including installation of double vanity, standing tub, and shower.",1 unit,"$9,900 per unit",0.75,,17325,95
Master Bathroom Renovation,Master Bathroom,Bathroom Tile Work,Installation of new bathroom floor and wall tiles.,60 SF,"$4,100 per unit",0.80,,7380,90
Master Bathroom Renovation,Master Bathroom,Bathroom Electrical,Installation of bathroom electrical systems including lighting and outlets.,1 unit,"$3,500 per unit",0.75,,6125,90
Master Bathroom Renovation,Master Bathroom,Bathroom Waterproofing,Installation of waterproofing systems for bathroom floors and walls.,35 SF,"$2,100 per unit",0.65,,3465,90
,,,,,,,,82467.50,
,,,,,,,,371303.00,
,,,General Conditions (10%),,,,,37130.30,
,,,Grand Total,,,,,408433.30,
