Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom 1 Renovation,,,,,,,,,
Bathroom 1 Renovation,Bathroom 1,Demolition,"Remove existing fixtures, tile, vanity, and flooring.",95 SF,"$3,300 per UNIT",0.75,,5775.00,95
Bathroom 1 Renovation,Bathroom 1,Plumbing,"Install new plumbing for toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325.00,90
Bathroom 1 Renovation,Bathroom 1,Tile Installation,Install new floor and wall tiles.,95 SF,"$2,700 per SF",0.80,,4860.00,90
Bathroom 1 Renovation,Bathroom 1,Electrical,Install new lighting fixtures and GFCI outlets.,1 UNIT,"$3,500 per UNIT",0.75,,6125.00,90
Bathroom 1 Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",95 SF,"$3,300 per UNIT",0.75,,5775,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Plumbing,"Full gut replacement of plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$9,900 per UNIT",0.75,,17325,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, and GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Tile Work,Installation of floor and wall tiles including grout and sealing.,95 SF,"$4,100 per UNIT",0.80,,7380,95
Bathroom 1 Renovation,Bathroom 1,Bathroom Fixtures,"Installation of new vanity, mirror, towel bars, and shower doors.",1 UNIT,"$2,000 per UNIT",0.75,,3500,95
,,,,,,,,74190.00,
Bathroom 2 Renovation,,,,,,,,,
Bathroom 2 Renovation,Bathroom 2,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",17 SF,"$2,200 per UNIT",0.75,,3850,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Plumbing,"Full gut replacement of plumbing fixtures including toilet, sink, and shower.",1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom 2 Renovation,Bathroom 2,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, and GFCI outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,95
