Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Cabinetry,,,,,,,,,
Cabinetry,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,nan,22312.5,95.0
,,,,,,,,22312.50,
Demolition,,,,,,,,,
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,nan,5775.0,95.0
Demolition,Kitchen,Wall Removal for Open Concept,Remove two walls to create open concept kitchen layout,2 WALLS,"$1,750 per WALL",0.75,%,6125.0,85.0
Demolition,Primary Bathroom,Full Gut Renovation,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,90.0
Demolition,Primary Bathroom,Full Gut Primary Bathroom,Full gut and renovation of primary bathroom.,1 UNIT,"$9,900 per UNIT",0.75,nan,17325.0,95.0
Demolition,First Floor,Remove Mud Room,Remove the mud room to expand the kitchen.,1 UNIT,"$2,500 per UNIT",0.75,nan,4375.0,85.0
Demolition,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",33 SF,"$2,200 per UNIT",0.75,nan,3850.0,95.0
,,,,,,,,54775.00,
Doors,,,,,,,,,
Doors,Attic,Barn Door Installation,Install a barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,nan,2310.0,85.0
Doors,First Floor,Sliding Door Installation,Replace window with sliding door on front balcony.,1 UNIT,"$1,500 per UNIT",0.75,nan,2625.0,85.0
,,,,,,,,4935.00,
Electrical,,,,,,,,,
Electrical,Whole House,Electrical Rewiring,Rewire the whole house for better electrical organization.,2046 SF,$17 per SF,0.75,nan,60817.5,90.0
Electrical,First Floor,First Floor Lighting Replacement,Replace all lighting fixtures throughout first floor,1 FLOOR,"$4,500 per FLOOR",0.75,%,7875.0,90.0
,,,,,,,,68692.50,
Flooring,,,,,,,,,
Flooring,Bedroom 1,Bedroom Flooring,"Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,nan,4056.75,95.0
Flooring,Attic,Floor Installation,Install new flooring in the attic.,548.6 SF,$6 per SF,0.75,nan,5754.45,90.0
Flooring,First Floor,Level Floors,Level the floors with the extension height of 5 inches.,1319 SF,$6 per SF,0.75,nan,13840.5,90.0
Flooring,Kitchen,Kitchen Flooring,Installation of new hardwood flooring.,205 SF,$6 per SF,0.75,nan,2156.25,90.0
Flooring,Living Room,Living Room Flooring,Installation of new hardwood flooring.,246 SF,$6 per SF,0.75,nan,2587.5,90.0
Flooring,Second Floor,Install New Floors,Install new floors throughout the second floor.,548.6 SF,$6 per SF,0.75,nan,5754.45,90.0
,,,,,,,,34149.90,
General Requirements,,,,,,,,,
General Requirements,Attic,New Staircase Installation,Install a new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,nan,2100.0,85.0
General Requirements,Basement,Crawl Space Closure,Close crawl space with concrete.,1 UNIT,"$2,500 per UNIT",0.75,nan,4375.0,90.0
General Requirements,Basement,Refinish Basement,Complete refinishing of basement including walls and ceilings.,500 SF,$4 per SF,0.75,nan,3500.0,90.0
General Requirements,First Floor,New Washer/Dryer Room,Install a new washer/dryer room.,1 UNIT,"$3,850 per UNIT",0.75,nan,6737.5,85.0
General Requirements,Bedroom,Change Bedroom Layout,Change the layout of the two bedrooms.,2 UNIT,"$2,500 per UNIT",0.75,nan,8750.0,85.0
General Requirements,Whole House,Commercial Cleaning,Post-construction commercial cleaning for entire house,1 UNIT,",750 per UNIT",0.75,%,4812.5,95.0
,,,,,,,,30275.00,
Heating and Cooling,,,,,,,,,
Heating and Cooling,General,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$8,250 per UNIT",0.6,nan,13200.0,85.0
,,,,,,,,13200.00,
Kitchen,,,,,,,,,
Kitchen,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.8,nan,3960.0,95.0
Kitchen,Kitchen,New Kitchen,"Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,nan,76457.5,95.0
,,,,,,,,80417.50,
Painting & Wall Coverings,,,,,,,,,
Painting & Wall Coverings,Bedroom 1,Bedroom Painting,"Wall preparation, primer application, paint walls, paint ceiling, and closet painting.",432 SF,$10.3 per SF,0.75,nan,7788.0,95.0
Painting & Wall Coverings,Living Room,Living Room Painting,"Wall preparation, primer application, paint walls, paint ceiling, and touch-up work.",400 SF,$10.3 per SF,0.75,nan,7210.0,95.0
Painting & Wall Coverings,Whole House,Wall Patching and Painting,Patch and paint walls throughout the house,6509 SF,.3 per SF,0.7,%,114347.55,90.0
,,,,,,,,129345.55,
Plumbing,,,,,,,,,
Plumbing,Bathroom,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,nan,13475.0,95.0
Plumbing,Kitchen,Kitchen Plumbing,"Full gut plumbing for existing location with 1 sink, including rough plumbing, kitchen sink installation, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$3,850 per UNIT",0.75,nan,6737.5,95.0
,,,,,,,,20212.50,
Tile,,,,,,,,,
Tile,Basement,Tile Installation,Install new tile flooring in the basement.,500 SF,$6 per SF,0.8,nan,5400.0,90.0
Tile,Bathroom,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,33 SF,"$2,600 per 60 SF",0.8,nan,4680.0,90.0
,,,,,,,,10080.00,
Trims,,,,,,,,,
Trims,Bedroom 1,Bedroom Trim,"Baseboard installation, window casings, door casings, and closet trim.",100 LF,$5 per LF,0.75,nan,875.0,95.0
Trims,Living Room,Living Room Trim,"Baseboard installation, crown molding, window casings, door casings, and quarter round.",100 LF,$5 per LF,0.75,nan,875.0,95.0
,,,,,,,,1750.00,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Attic,Sound Insulation Installation,Install sound insulation in attic walls and ceiling,1 ATTIC,"$3,200 per ATTIC",0.75,%,5600.0,85.0
,,,,,,,,5600.00,
,,,,,,,,475745.45,
,,,General Conditions (10%),,,,,47574.55,
,,,Grand Total,,,,,523319.99,
