Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom Renovation,Bathroom,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom Renovation,Bathroom,Bathroom Electrical,"Installation of bathroom electrical including outlets, switches, and lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom Renovation,Bathroom,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,56.5 SF,"$2,600 per 60 SF",0.80,,4680,90
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",1 UNIT,"$2,200 per UNIT",0.75,,3850,95
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,Full gut plumbing replacement for existing bathroom location.,1 UNIT,"$7,700 per UNIT",0.75,,13475,95
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Installation of vanity lighting, exhaust fan, GFCI outlets, and mirror lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,Installation of wall and floor tiles in bathroom.,80 SF,"$3,400 per 60-80 SF",0.80,,6120,90
Bathroom Renovation,Bathroom 1,Bathroom Waterproofing,Installation of waterproofing system for bathroom floors and walls.,80 SF,"$2,100 per 60-80 SF",0.65,,3465,90
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, flooring, debris removal.",1 UNIT,"$2,200 per UNIT",0.75,,3850,90
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Rough plumbing, toilet installation, sink installation, shower/tub installation, supply lines, drain lines, vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475,90
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Rough electrical, vanity lighting, exhaust fan installation, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, floor tile installation, wall tile installation, shower tile, grout installation, tile sealing.",56.5 SF,"$2,600 per UNIT",0.80,,4680,90
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Vanity installation, mirror installation, towel bars, toilet paper holder, shower doors, medicine cabinet.",1 UNIT,$550 per UNIT,0.75,,962.5,90
,,,,,,,,90257.50,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom 1,Bedroom Flooring,Installation of new hardwood flooring.,636 SF,$6 per SF,0.75,,6678,90
Bedroom Renovation,Bedroom 1,Bedroom Painting,Painting of walls and ceiling.,636 SF,$10.3 per SF,0.75,,11476.5,90
Bedroom Renovation,Bedroom 1,Bedroom Electrical,"Installation of outlets, switches, and lighting fixtures.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bedroom Renovation,Bedroom 1,Bedroom Flooring,Installation of new hardwood flooring.,170 SF,$6 per SF,0.75,,1785,90
Bedroom Renovation,Bedroom 1,Bedroom Painting,Painting of walls and ceiling.,170 SF,$10.3 per SF,0.70,,3061.5,90
Bedroom Renovation,Bedroom 1,Bedroom Electrical,"Installation of outlets, switches, light fixtures, and ceiling fans.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bedroom Renovation,Bedroom 1,Bedroom Trim,Installation of baseboards and window casings.,80 LF,$9 per LF,0.70,,1260,90
Bedroom Renovation,Bedroom 1,Bedroom Flooring,"Subfloor preparation, flooring installation, transition strips, closet flooring.",636 SF,$6 per SF,0.75,,6687,90
Bedroom Renovation,Bedroom 1,Bedroom Painting,"Wall preparation, primer application, paint walls, paint ceiling, closet painting.",636 SF,$10.3 per SF,0.75,,11467.5,90
Bedroom Renovation,Bedroom 1,Bedroom Electrical,"Outlet installation, switch installation, light fixtures, ceiling fans, closet lighting, bedside outlets, USB outlets.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Bedroom Renovation,Bedroom 1,Bedroom Trim,"Baseboard installation, window casings, door casings, closet trim.",100 LF,$5 per LF,0.75,,875,90
,,,,,,,,61665.50,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of the entire house post-renovation.,1 UNIT,"$4,400 per UNIT",0.75,,7700,85
Commercial Cleaning,Entire House,Commercial Cleaning,Post-construction cleaning of entire house.,1 UNIT,"$4,400 per UNIT",0.75,,7700,95
Commercial Cleaning,Entire House,Commercial Cleaning,Post-construction cleaning of all renovated areas.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,90
,,,,,,,,20212.50,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical including outlets, switches, and lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,11 LF,$850 per LF,0.75,,16362.5,90
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of large tile backsplash.,10 ft,"$2,200 per 10 ft",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",1 UNIT,"$3,300 per UNIT",0.75,,5775,95
Kitchen Renovation,Kitchen,Kitchen Plumbing,Full gut plumbing for existing kitchen location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95
Kitchen Renovation,Kitchen,Kitchen Electrical,"Rough electrical wiring, GFCI outlet installation, under-cabinet lighting, pendant light installation, range hood electrical, island electrical, dimmer switch installation.",1 UNIT,"$3,500 per UNIT",0.75,,6125,90
Kitchen Renovation,Kitchen,Kitchen Cabinets,Installation of standard kitchen cabinets up to 10FT.,1 UNIT,"$7,600 per UNIT",0.75,,13300,95
Kitchen Renovation,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Kitchen Backsplash,Installation of large tile backsplash.,10 FT,"$2,200 per 10 FT",0.80,,3960,90
Kitchen Renovation,Kitchen,Kitchen Flooring,Installation of new tile flooring in kitchen.,80 SF,"$2,400 per 60-80 SF",0.80,,4320,90
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove old cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, dumpster rental, protection of adjacent areas.",20 LF,"$3,300 per UNIT",0.75,,5775,90
Kitchen Renovation,Kitchen,Kitchen Plumbing,"Rough plumbing, kitchen sink installation, garbage disposal, water supply lines, drain lines, shut-off valves.",1 UNIT,"$3,850 per UNIT",0.75,,6737.5,90
