Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Full gut of bathroom including removal of old fixtures, tile, and flooring.",60 SF,2200 per unit,0.75,,3850,95
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of old cabinets, countertops, appliances, and flooring.",87 SF,3300 per unit,0.75,,5775,95
Demolition,Exterior,Pergola/Terrace Demolition,"Remove existing pergola and terrace/balcony to incorporate area into house expansion (per transcript).",1 UNIT,1500 per UNIT,0.75,,2625,85
Demolition,Exterior,Sliding Glass Door Removal,"Remove existing sliding glass door for transition (per transcript).",50 SF,7 per SF,0.75,,612.5,85
,,,,,,,,12862.50,
Walls & Ceiling,,,,,,,,,
Walls & Ceiling,Addition,New Addition Framing,"Framing for new walls in 50x20 expansion (CARP-01).",200 LF,45 per LF,0.75,,15750,85
Walls & Ceiling,Addition,New Addition Drywall,"Drywall installation in expansion (CARP-02).",2400 SF,8 per SF,0.75,,33600,85
Walls & Ceiling,Addition,New Addition Ceiling,"Ceiling work in expansion (CARP-03).",1000 SF,10 per SF,0.75,,17500,85
,,,,,,,,66850.00,
Plumbing,,,,,,,,,
Plumbing,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, and shower doors.",1 unit,1375 per unit,0.75,,2406.25,90
Plumbing,Kitchen,Kitchen Plumbing,"Install rough plumbing, kitchen sink, garbage disposal, water supply lines, and drain lines.",1 unit,3850 per unit,0.75,,6737.5,90
Plumbing,Laundry,Water Heater Relocation,"Relocate water heater from exterior to interior (laundry space) per transcript.",1 UNIT,1500 per UNIT,0.75,,2625,85
Plumbing,"Mother's Bath",New Bathroom Plumbing Full,"New bathroom from scratch - mother's suite (PLMB-04 0-60 sf).",1 UNIT,8800 per UNIT,0.75,,15400,90
Plumbing,"Couple's Bath",New Bathroom Plumbing Full,"New bathroom from scratch - couple's suite (PLMB-05 60-80 sf).",1 UNIT,9900 per UNIT,0.75,,17325,90
Plumbing,Laundry,Washer Dryer New Location,"Washer/dryer new location in laundry (PLMB-18).",1 UNIT,3350 per UNIT,0.75,,5862.5,85
Plumbing,New Baths,Bathroom Vanities Install,"Install vanities in two new bathrooms (BATH-01 x2).",2 UNIT,950 per UNIT,0.75,,3325,90
,,,,,,,,53681.25,
Electrical,,,,,,,,,
