Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Laundry Room,"Move laundry room from upstairs to basement, install washer/dryer connections, utility sink, and storage.",1 UNIT,"$3,850 per UNIT",0.75,nan,6737.5,90.0
Basement Renovation,Basement,Closets,Install built-in closets and storage systems in basement area.,3 UNIT,"$1,155 per UNIT",0.75,nan,6063.75,90.0
Basement Renovation,Basement,Wet Area,"Create wet area for pool access with drainage, flooring, and sliding doors.",80 SF,$50 per SF,0.75,nan,7000.0,85.0
,,,,,,,,19801.25,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Master Bathroom,Bathroom Demolition,"Full gut of master bathroom including removal of fixtures, tile, vanity, and flooring. Remove tub, create walk-in shower area.",75 SF,"$2,200 per UNIT",0.75,nan,11550.0,95.0
Bathroom Renovation,Master Bathroom,Bathroom Plumbing,"Full gut plumbing for master bathroom with walk-in shower (no tub), double vanity, and all fixtures.",1 UNIT,"$7,700 per UNIT",0.75,nan,40425.0,90.0
Bathroom Renovation,Master Bathroom,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT + 75 SF,"$3,500 per UNIT",0.75,nan,12250.0,90.0
Bathroom Renovation,Master Bathroom,Bathroom Tile Work,"Install floor and wall tiles, including large walk-in shower tile, grout installation, and tile sealing.",75 SF,"$2,600 per UNIT",0.8,nan,14040.0,90.0
Bathroom Renovation,Master Bathroom,Bathroom Fixtures,"Install double vanity, mirror, towel bars, toilet paper holder, walk-in shower doors (no tub), and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,nan,2406.25,90.0
Bathroom Renovation,Master Bathroom,Bathroom Flooring,Installation of waterproof flooring for master bathroom.,75 SF,$6 per SF,0.75,nan,641.25,95.0
Bathroom Renovation,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal. | Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",61 SF,"$2,200 per UNIT",0.75,nan,11550.0,95.0
Bathroom Renovation,Bathroom 1,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines. | Full gut plumbing for bathroom with existing location fixtures. | Full gut plumbing for existing location.",1 UNIT,"$7,700 per UNIT",0.75,nan,40425.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting, heated floor electrical. | Installation of bathroom electrical systems including lighting and outlets.",1 UNIT + 61 SF,"$3,500 per UNIT",0.75,nan,12250.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing. | Installation of floor and wall tiles.",61 SF,"$2,600 per UNIT",0.8,nan,14040.0,90.0
Bathroom Renovation,Bathroom 1,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,nan,2406.25,90.0
Bathroom Renovation,Bathroom 2,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring. Debris removal. | Full gut of bathroom including removal of fixtures, tile, vanity, and flooring.",32 SF,"$2,200 per UNIT",0.75,nan,7700.0,95.0
Bathroom Renovation,Bathroom 2,Bathroom Plumbing,"Install rough plumbing, toilet, sink, shower, supply lines, drain lines, and vent lines. | Full gut plumbing for existing location.",1 UNIT,"$7,700 per UNIT",0.75,nan,26950.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting, heated floor electrical.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing. | Installation of floor and wall tiles.",32 SF,"$2,600 per UNIT",0.8,nan,9360.0,90.0
Bathroom Renovation,Bathroom 2,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,nan,2406.25,90.0
Bathroom Renovation,Bathroom 1,Bathroom Flooring,Installation of waterproof flooring.,61 SF,$6 per SF,0.75,nan,641.25,95.0
Bathroom Renovation,Suite Bathroom,Bathroom Demolition,"Full gut of suite bathroom including removal of fixtures, tile, vanity, and flooring.",35 SF,"$2,200 per UNIT",0.75,nan,7700.0,95.0
Bathroom Renovation,Suite Bathroom,Bathroom Plumbing,Full gut plumbing for suite bathroom with existing location fixtures.,1 UNIT,"$7,700 per UNIT",0.75,nan,26950.0,90.0
Bathroom Renovation,Suite Bathroom,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation, mirror lighting.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,90.0
Bathroom Renovation,Suite Bathroom,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing.",35 SF,"$2,600 per UNIT",0.8,nan,9360.0,90.0
Bathroom Renovation,Suite Bathroom,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors, and medicine cabinet.",1 UNIT,"$1,375 per UNIT",0.75,nan,2406.25,90.0
Bathroom Renovation,Basement,Bathroom Demolition,"Full gut of basement bathroom including removal of fixtures, tile, vanity, and flooring.",40 SF,"$2,200 per UNIT",0.75,nan,7700.0,95.0
Bathroom Renovation,Basement,Bathroom Plumbing,Full gut plumbing for basement bathroom/wet area with pool access.,1 UNIT,"$7,700 per UNIT",0.75,nan,26950.0,90.0
Bathroom Renovation,Basement,Bathroom Electrical,"Install rough electrical, vanity lighting, exhaust fan, GFCI outlets, switch installation.",1 UNIT,"$3,500 per UNIT",0.75,nan,6125.0,90.0
Bathroom Renovation,Basement,Bathroom Tile Work,"Install floor and wall tiles, including shower tile, grout installation, and tile sealing.",40 SF,"$2,600 per UNIT",0.8,nan,9360.0,90.0
Bathroom Renovation,Basement,Bathroom Fixtures,"Install vanity, mirror, towel bars, toilet paper holder, shower doors.",1 UNIT,"$1,375 per UNIT",0.75,nan,2406.25,90.0
,,,,,,,,320248.75,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Bedroom Flooring,"Install new flooring, including subfloor preparation, transition strips, and closet flooring. | Installation of engineered laminate flooring. | Installation of new hardwood flooring.",550 SF,$6 per SF,0.75,nan,5775.0,90.0
Bedroom Renovation,Bedroom,Bedroom Painting,"Prepare and paint walls and ceiling, including primer application and closet painting. | Painting of walls and ceiling.",550 SF,$10.3 per SF,0.75,nan,9913.75,90.0
Bedroom Renovation,Bedroom,Bedroom Electrical,"Install outlets, switches, light fixtures, ceiling fans, closet lighting, bedside outlets, and USB outlets. | Installation of electrical systems including outlets and lighting. | Installation of outlets, switches, and light fixtures.",5 UNIT + 550 SF,"$3,500 per UNIT",0.75,nan,26.25,90.0
Bedroom Renovation,Bedroom,Bedroom Trim,"Install baseboards, window casings, door casings, and closet trim. | Installation of baseboards and crown molding.",550 SF,$5 per LF,0.75,nan,4812.5,90.0
