Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Plumbing,,,,,,,,,
Plumbing,Both Restrooms,Plumbing Rough-In Relocation,"Relocate domestic water (CWS/HWS), sanitary, and vent piping to new fixture locations per A-5 plumbing plans. Includes 4"" and 3"" sanitary, 1.5""-2"" vents, 3/4"" supply lines.",1 LS,"$16,000 per LS",0,,16000.0,85
Plumbing,Both Restrooms,Cap Existing Plumbing Lines,Cap all abandoned plumbing lines as required per A-5 note 2.,1 LS,"$1,400 per LS",0,,1400.0,90
Plumbing,Both Restrooms,Fixture Connections,"Connect all new/relocated fixtures to modified piping. Supply stops, waste connections, and P-traps. Men's: 13 fixtures, Women's: 8 fixtures.",21 EA,$350 per EA,0,,7350.0,90
Plumbing,Both Restrooms,Floor Drains,New interior floor drains per plumbing plan. Connect to modified sanitary system.,4 EA,$500 per EA,0,,2000.0,90
Plumbing,Both Restrooms,Plumbing Testing & Commissioning,"Pressure test water/waste lines, verify flow rates, flush and sanitize per Division 22.",1 LS,"$1,500 per LS",0,,1500.0,90
,,,,,,,,28250.00,
Electrical,,,,,,,,,
Electrical,Both Restrooms,Electrical Demolition,"Remove all existing wiring, receptacles, switches, conduit, lighting per Division 16050 demo requirements.",1 LS,"$3,500 per LS",0,,3500.0,90
Electrical,Both Restrooms,LED 2x2 Light Fixtures,New 2x2 LED VXL 5000K fixtures for drop ceiling per A-4 note 2. Supply and install.,12 EA,$380 per EA,0,,4560.0,90
Electrical,Both Restrooms,Recessed Lights,"Satco 6"" 18.5W recessed lights per A-4 note 3. Supply and install at new locations.",6 EA,$280 per EA,0,,1680.0,90
Electrical,Both Restrooms,Switches & GFI Receptacles,"New single pole switches, GFI receptacles for wet locations per Division 16140. Gray finish.",12 EA,$120 per EA,0,,1440.0,90
Electrical,Both Restrooms,Branch Circuit Wiring,"New MC cable wiring for all lighting, receptacle, and device circuits per Division 16120.",1 LS,"$5,000 per LS",0,,5000.0,90
Electrical,Both Restrooms,Sensor Faucet Power Connections,Power to automatic faucet sensors (6 total) per A-4 plan note. Dedicated circuits.,6 EA,$280 per EA,0,,1680.0,90
Electrical,Both Restrooms,Fire Alarm Device Replacement,Replace all fire protection devices (visual/audio signals) in place to match existing per A-4 note 1.,1 LS,"$2,800 per LS",0,,2800.0,90
Electrical,Both Restrooms,Motion Detectors,New motion detectors per A-4 electrical plan.,4 EA,$220 per EA,0,,880.0,85
,,,,,,,,21540.00,
Allowance,,,,,,,,,
Allowance,Project,Owner's Contingency Allowance,"Per bid form: $7,500 allowance at Owner's discretion. Unused portion returned to Owner at completion.",1 LS,"$7,500 per LS",,,7500,100
,,,,,,,,7500.00,
Carpentry,,,,,,,,,
Carpentry,Both Restrooms,Metal Stud Partition Framing,"New partition walls: 2x4"" 25ga galv. steel studs @16"" OC, top/bottom runners per A-3 and A-6 wall detail.",90 LF,$77 per LF,0,,6930.0,90
Carpentry,Both Restrooms,Plumbing Wall Framing,"New 2x6"" staggered metal studs for 8"" plumbing walls to conceal supply/waste per A-3 note.",25 LF,$95 per LF,0,,2375.0,85
Carpentry,Both Restrooms,Moisture-Resistant Drywall,"1/2"" Gold Bond Purple XP Mold drywall on all new and replacement walls, both sides. Taped, spackled, and prepared per A-6.",1400 SF,$6.50 per SF,0,,9100.0,90
