Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Basement Renovation,,,,,,,,,
Basement Renovation,Basement,Theater Room Setup,Prepare basement for theater room setup including electrical and soundproofing.,1 UNIT,"$5,000",0.75,,8750.00,85
Basement Renovation,Basement,Wet Bar Installation,Install wet bar with plumbing and electrical connections.,1 UNIT,"$4,950",0.75,,8662.50,85
Basement Renovation,Basement,Mini Wine Cellar Setup,Install mini wine cellar with climate control.,1 UNIT,"$3,500",0.75,,6125.00,85
,,,,,,,,23537.50,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Bathroom,Bathroom Demolition,"Full gut of bathroom including removal of fixtures, tile, and flooring.",35 SF,"$2,200 per unit",0.75,,3850.00,90
Bathroom Renovation,Bathroom,Bathroom Plumbing,"Installation of bathroom plumbing systems including toilet, sink, and shower.",1 UNIT,"$7,700 per unit",0.75,,13475.00,85
Bathroom Renovation,Bathroom,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,35 SF,"$2,600 per unit",0.80,,4680.00,85
Bathroom Renovation,Bathroom,Bathroom Electrical,Installation of bathroom electrical systems including lighting and outlets.,1 UNIT,"$3,500 per unit",0.75,,6125.00,85
,,,,,,,,28130.00,
Bedroom Renovation,,,,,,,,,
Bedroom Renovation,Bedroom,Flooring Installation,"Installation of new flooring including subfloor preparation, flooring installation, transition strips, and closet flooring.",159 SF,$6 per SF,0.75,,1672.5,85
Bedroom Renovation,Bedroom,Painting,"Painting of bedroom walls and ceiling including wall preparation, primer application, and touch-up work.",159 SF,$10.3 per SF,0.75,,2865.75,85
Bedroom Renovation,Bedroom,Electrical Installation,"Installation of bedroom electrical systems including outlet installation, switch installation, light fixtures, and ceiling fans.",1 UNIT,"$3,500 per UNIT",0.75,,6125,85
,,,,,,,,10663.25,
Commercial Cleaning,,,,,,,,,
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of all renovated areas.,1 UNIT,"$4,400",0.75,,7700.00,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 for 1,200-1,800 sf",0.75,,3368.75,95
Commercial Cleaning,Entire House,Post-Construction Cleaning,Comprehensive cleaning of the entire house post-renovation.,1 UNIT,"$2,750 per UNIT",0.75,,4812.5,95
Commercial Cleaning,Entire Apartment,Post-Construction Cleaning,Comprehensive cleaning of the entire apartment post-renovation.,1 UNIT,"$1,925 per unit",0.75,,3368.75,95
,,,,,,,,19250.00,
Kitchen Renovation,,,,,,,,,
Kitchen Renovation,Kitchen,Kitchen Demolition,"Remove existing countertops, backsplash, and prepare for new installations.",245 SF,$4 per SF,0.75,,1715.00,90
Kitchen Renovation,Kitchen,Countertop Installation,Install new quartz countertops with waterfall design.,50 SF,$97 per SF,1.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match updated kitchen design.,30 SF,"$2,200",0.80,,3960.00,90
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install new kitchen island with plumbing and electrical connections.,1 UNIT,"$7,600",0.75,,13300.00,90
Kitchen Renovation,Kitchen,Electrical Upgrades,"Install new GFCI outlets, pendant lighting, and under-cabinet lighting.",10 UNITS,$440 per UNIT,0.75,,7700.00,85
Kitchen Renovation,Kitchen,Plumbing Upgrades,"Install new sink, faucet, and garbage disposal.",1 UNIT,"$3,850",0.75,,6737.50,85
Kitchen Renovation,Kitchen,Kitchen Island Installation,Install a new kitchen island with a waterfall countertop to match existing kitchen aesthetics.,1 UNIT,"$2,400 per LF",0.75,,4200.00,90
Kitchen Renovation,Kitchen,Countertop Replacement,"Replace existing countertops with new quartz countertops, including fabrication and installation.",45 SF,$97 per SF,0.75,,13763.75,95
Kitchen Renovation,Kitchen,Backsplash Installation,Install new tile backsplash to match the new countertops.,10 LF,"$2,200 per 10 LF",0.80,,3960.00,90
Kitchen Renovation,Kitchen,Electrical Reallocation,Reallocate electrical outlets and control panel due to wall removal.,1 UNIT,"$3,500 minimum",0.75,,6125.00,85
Kitchen Renovation,Kitchen,Wall Removal,Remove portion of wall to open up space for better light and visibility.,1 UNIT,"$3,300 per 10 ft",0.75,,5775.00,85
Kitchen Renovation,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",245 SF,"$3,300 per UNIT",0.75,,5775,90
