Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Demolition,,,,,,,,,
Demolition,General,Pre-construction site preparation,"Pre-construction site preparation

-Protect and seal entry doors, grilles, and other openings at the house.

-Set up zipper walls and containments to prevent dust from spreading to other areas as required by the construction scope of work.




",1 UNIT,"$2,000.00 per UNIT",0.75,,3500.00,95
Demolition,General,Demolition of existing structures,"Existing House

-Demolition and removal of existing siding, trim, and sheathing at the existing wall where the new extension will connect.

-Demolition and removal of structural wall framing to create new opening for the new extension.

-Demolition and removal of existing fireplace to create new opening for the new extension.

-Demolition and removal of existing doors as per proposed plan.

-Removal of existing windows as per proposed plan.

-Demolition and removal of existing roof, overhangs, gutters, or eaves as needed for proper roof tie-in with the new extension.

-Demolition and removal of existing partition walls throughout the house as per proposed plan.

-Demolition and removal of existing hardwood flooring throughout the 1st floor.

-Demolition and removal of existing baseboards throughout the 1st floor.

*Debris removal and disposal included
",430 SF,$7.00 per SF,0.75,,5267.50,95
Demolition,General,Demolition of existing structures,"1st Floor - Existing Powder Room

-Demolition of powder room tiles, vanity, medicine cabinet, toilet, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal included
",1 UNIT,"$1,375.00 per UNIT",0.75,,2406.25,95
Demolition,General,Demolition of existing structures,"1st Floor - Existing Laundry Room

-Demolition of tiles, shelves, cabinets, appliances, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal included
",1 UNIT,"$2,200.00 per UNIT",0.75,,3850.00,95
Demolition,General,Demolition of existing structures,"2nd Floor - Primary Bathroom

-Demolition of bathroom tiles, vanity, medicine cabinet, toilet, and fixtures.

-Demolition and removal of plumbing water and waste lines.

*Debris removal and disposal included
",1 UNIT,"$2,200.00 per UNIT",0.75,,3850.00,95
Demolition,General,Demolition of existing structures,"2nd Floor - Second Bathroom

-Demolition and removal of the tub.

*Debris removal and disposal included
",1 UNIT,"$1,375.00 per UNIT",0.75,,2406.25,95
Demolition,General,Demolition of existing structures,"2nd Floor - Existing Walk-In Closet

-Demolition of shelves, cabinets, and other millworks.

-Demolition of wall substrates back to framing.

*Debris removal and disposal included
",1 UNIT,"$1,375.00 per UNIT",0.75,,2406.25,95
Demolition,General,"Excavation, grading, and backfilling","New Extension Area (Approx. 430 SF)

-Strip and remove surface vegetation and topsoil within the new addition footprint.

-Excavate to required subgrade elevation for slab-on-grade foundation, including trenches for footings.

-Grade and level the building pad to ensure uniform bearing conditions and slab support.

-Excavate utility trenches as needed for underslab plumbing and electrical rough-ins.

-Place and compact fill material around the perimeter and over excavated areas as needed to establish proper grade.

-Perform rough grading around the new structure to promote positive drainage away from the foundation.

*Debris removal and disposal included
",1 UNIT,"$2,000.00 per UNIT",0.75,,3500.00,95
,,,,,,,,27186.25,
